title,price,productUrl,imageUrl,brand,category
Bacon Streaky,$24.00/kg,https://www.igashop.com.au/product/80072025,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072025.jpg",,"Ham, Bacon, Salami and Sliced Meats"
Berliner,$20.00/kg,https://www.igashop.com.au/product/80072004,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072004.jpg",,"Ham, Bacon, Salami and Sliced Meats"
Cabanossi,$21.50/kg,https://www.igashop.com.au/product/80072074,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072074.jpg",,Sausages and Frankfurts
Chilli Chicken Slices,$38.00/kg,https://www.igashop.com.au/product/80072077,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072077.jpg",,"Ham, Bacon, Salami and Sliced Meats"
Chilli Turkey Slices,$36.00/kg,https://www.igashop.com.au/product/80072079,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072079.jpg",,"Ham, Bacon, Salami and Sliced Meats"
Devon,$9.00/kg,https://www.igashop.com.au/product/80072003,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072003.jpg",,"Ham, Bacon, Salami and Sliced Meats"
Ham Deluxe,$23.00/kg,https://www.igashop.com.au/product/80072064,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072064.jpg",,"Ham, Bacon, Salami and Sliced Meats"
Hans Hot Dogs American,$5.25,https://www.igashop.com.au/product/133667,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/133667.jpg",Hans,Sausages and Frankfurts
Lite Ham,$18.00/kg,https://www.igashop.com.au/product/80072065,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072065.jpg",,"Ham, Bacon, Salami and Sliced Meats"
Ocean Blue Smoked Salmon,$13.90,https://www.igashop.com.au/product/160000002405,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000002405.jpg",Ocean Blue,Smoked Salmon and Seafood
Primo Ham Protein Stackers,$4.35,https://www.igashop.com.au/product/1800000068323,,Primo,"Ham, Bacon, Salami and Sliced Meats"
Tassal Salmon Smoked Lemon,$8.45,https://www.igashop.com.au/product/895502,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/895502.jpg",Tassal,Smoked Salmon and Seafood
Tassal Tasmanian Smoked Salmon Slices,$9.25,https://www.igashop.com.au/product/146262,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/146262.jpg",Tassal,Smoked Salmon and Seafood
