title,price,productUrl,imageUrl,brand,category
Philadelphia Cream Cheese Sweet Chilli Pourovers,$3.50,https://www.igashop.com.au/product/139265,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/139265.jpg",Philadelphia,Dips and Pate
OB Finest Specialty Crackers Gluten Free Date & Almond ,$5.00,https://www.igashop.com.au/product/80199,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80199.jpg",OB Finest,Dips and Pate
AusFresh Marinated Green Split Olives,$3.75,https://www.igashop.com.au/product/20000003465,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003465.jpg",AusFresh,Antipasto
AusFresh Mediterranean Olives Mix,$3.75,https://www.igashop.com.au/product/413054,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/413054.jpg",AusFresh,Antipasto
AusFresh Olive Green Chilli and Garlic,$3.75,https://www.igashop.com.au/product/812258,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/812258.jpg",AusFresh,Antipasto
Ausfresh Olives Kalamata Pitted Marinated,$3.75,https://www.igashop.com.au/product/413046,,Ausfresh,Antipasto
AusFresh Pepperbelles with Cream Cheese,$5.75,https://www.igashop.com.au/product/20000003464,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003464.jpg",AusFresh,Antipasto
Back To Original French Onion Dip,$4.00,https://www.igashop.com.au/product/20000004213,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004213.jpg",Back To Original,Dips and Pate
Back To Original Garlic Dip,$4.00,https://www.igashop.com.au/product/190000003837,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003837.jpg",Back To Original,Dips and Pate
Back To Original Hommus Dip,$4.00,https://www.igashop.com.au/product/190000003845,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003845.jpg",Back To Original,Dips and Pate
Back To Original Tzatziki Dip,$4.00,https://www.igashop.com.au/product/20000004571,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004571.jpg",Back To Original,Dips and Pate
Beef Lasagne,$7.23 avg/ea,https://www.igashop.com.au/product/80072038,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072038.jpg",,Prepared Foods and Salads
Bellissimo Olive Mediterranian,$4.65,https://www.igashop.com.au/product/20000002547,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000002547.jpg",Bellissimo,Antipasto
Chris' Dip Traditional Corn Relish,$4.50,https://www.igashop.com.au/product/167014,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/167014.jpg",Chris',Dips and Pate
Chris' Dips Spring Onion,$4.50,https://www.igashop.com.au/product/118138,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/118138.jpg",Chris',Dips and Pate
Chris' Dips Sweet Potato & Cashew,$4.50,https://www.igashop.com.au/product/961159,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/961159.jpg",Chris',Dips and Pate
