title,price,productUrl,imageUrl,brand,category
Beef Burger,$9.50,https://www.igashop.com.au/product/180000000636,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000636.jpg",,Sausages and Burgers
Beef Soup Bones,$7.99 avg/ea,https://www.igashop.com.au/product/80080016,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080016.jpg",,"Beef, Pork and Lamb"
Bruemar Pork Belly Rashers Char Siu,$9.70,https://www.igashop.com.au/product/741211,,Bruemar,"Beef, Pork and Lamb"
Bruemar Pork Loin Steaks Pepper Garlic & Honey,$9.70,https://www.igashop.com.au/product/741253,,Bruemar,"Beef, Pork and Lamb"
Bruemar Pork Scotch Steaks Teriyaki Style,$9.70,https://www.igashop.com.au/product/741261,,Bruemar,"Beef, Pork and Lamb"
Canon Chicken BBQ Poppers,$9.00,https://www.igashop.com.au/product/658447,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/Canon_Chicken_BBQ_Poppers.jpg",Canon,Chicken and Other Poultry
Canon Chicken Burger,$10.95,https://www.igashop.com.au/product/134045,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/134045.jpg",Canon,Sausages and Burgers
Canon Chicken CheezOs,$9.00,https://www.igashop.com.au/product/658418,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/Canon_Chicken_CheezOs.jpg",Canon,Chicken and Other Poultry
Canon Chicken Southern Style Dippers,$9.00,https://www.igashop.com.au/product/658405,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/Canon_Chicken_Southern_Style_Dippers.jpg",Canon,Chicken and Other Poultry
Canon Chicken Sweet Chilli Fries,$7.95,https://www.igashop.com.au/product/658421,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/Canon_Chicken_Sweet_Chilli_Fries.jpg",Canon,Chicken and Other Poultry
Canon Foods Crunchy Garlic Chicken Breast,$17.95,https://www.igashop.com.au/product/128748,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/128748.jpg",Canon Foods,Chicken and Other Poultry
Canon Foods Southern Style Popcorn Chicken,$10.50,https://www.igashop.com.au/product/983025,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/983025.jpg",Canon Foods,Chicken and Other Poultry
Chicken Breast Fillets Small Pack,$6.50 avg/ea,https://www.igashop.com.au/product/80080001,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080001.jpg",,Chicken and Other Poultry
Chicken Drumsticks,$2.50 avg/ea,https://www.igashop.com.au/product/80080014,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080014.jpg",,Chicken and Other Poultry
Chicken Necks 1kg,$4.90,https://www.igashop.com.au/product/80070013,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80070013.jpg",,Chicken and Other Poultry
Community Co BBQ Beef Burger,$9.50,https://www.igashop.com.au/product/190000010640,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000010640.jpg",Community Co,"Beef, Pork and Lamb"
Community Co BBQ Beef Meatballs,$7.50,https://www.igashop.com.au/product/190000010643,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000010643.jpg",Community Co,"Beef, Pork and Lamb"
Community Co BBQ Wagyu Burger,$8.00,https://www.igashop.com.au/product/190000010641,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000010641.jpg",Community Co,"Beef, Pork and Lamb"
Community Co Buttermilk Chicken Burger,$11.50,https://www.igashop.com.au/product/20000001183,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001183.jpg",Community Co,Sausages and Burgers
Community Co Chicken Schnitzel Breast,$11.00,https://www.igashop.com.au/product/870455,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/870455.jpg",Community Co,Chicken and Other Poultry
Community Co Crumbed Chicken Kiev,$10.00,https://www.igashop.com.au/product/870439,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/870439.jpg",Community Co,Chicken and Other Poultry
Community Co Ham Steaks,$8.00,https://www.igashop.com.au/product/180000001634,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001634.jpg",Community Co,"Beef, Pork and Lamb"
Community Co Peri Peri Chicken Breast,$11.00,https://www.igashop.com.au/product/226766,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/226766.jpg",Community Co,Chicken and Other Poultry
Community Co Southern Fried Chicken Tenders,$10.00,https://www.igashop.com.au/product/20000001184,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001184.jpg",Community Co,Chicken and Other Poultry
Free Country Angus Beef Burger,$10.50 avg/ea,https://www.igashop.com.au/product/180046,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180046.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Angus Sausage,$10.00 avg/ea,https://www.igashop.com.au/product/180456,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180456.jpg",Free Country,Sausages and Burgers
Free Country BBQ Plum Pork Rashers,$12.00 avg/ea,https://www.igashop.com.au/product/180000000,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Beef Osso Bucco,$10.50 avg/ea,https://www.igashop.com.au/product/180000003,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Bolognese Pork & Beef Mince,$10.00 avg/ea,https://www.igashop.com.au/product/180055,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180055.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Crumbed Beef Schnitzel,$15.50 avg/ea,https://www.igashop.com.au/product/180000010,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000010.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Economy Beef Porterhouse Steak,$14.40 avg/ea,https://www.igashop.com.au/product/180041,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180041.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Economy Beef Rump Steak,$14.50 avg/ea,https://www.igashop.com.au/product/180000012,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000012.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Irish Pork Sausage,$9.50 avg/ea,https://www.igashop.com.au/product/180454,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180454.jpg",Free Country,Sausages and Burgers
Free Country Italian Pork Meatballs,$10.00 avg/ea,https://www.igashop.com.au/product/180000016,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000016.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Lamb Chop Chump,$17.50 avg/ea,https://www.igashop.com.au/product/180000017,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000017.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Lamb Cutlets,$22.40 avg/ea,https://www.igashop.com.au/product/180035,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180035.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Lamb Loin Chop,$17.00 avg/ea,https://www.igashop.com.au/product/180034,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180034.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Lamb Necks,$9.00 avg/ea,https://www.igashop.com.au/product/180000018,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000018.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Marinated Beef Steak,$14.50 avg/ea,https://www.igashop.com.au/product/180036,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180036.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Meaty Beef Sausage,$7.50 avg/ea,https://www.igashop.com.au/product/180049,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180049.jpg",Free Country,Sausages and Burgers
Free Country Mint Lamb Forequarter,$13.00 avg/ea,https://www.igashop.com.au/product/180000023,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000023.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Pork Medallions,$10.40 avg/ea,https://www.igashop.com.au/product/180081,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180081.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Pork Schnitzel,$13.50 avg/ea,https://www.igashop.com.au/product/180000028,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000028.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Pork Steak Butterfly,$13.00 avg/ea,https://www.igashop.com.au/product/180000029,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000029.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Soup Bones,$5.00 avg/ea,https://www.igashop.com.au/product/180000032,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000032.jpg",Free Country,"Beef, Pork and Lamb"
Free Country Spanish Chorizo,$9.50 avg/ea,https://www.igashop.com.au/product/180051,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180051.jpg",Free Country,Sausages and Burgers
Fresh Whole Chicken,$8.04 avg/ea,https://www.igashop.com.au/product/80080005,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080005.jpg",,Chicken and Other Poultry
Ingham Gluten Free Chicken Breast,$10.30,https://www.igashop.com.au/product/349548,,Ingham,Chicken and Other Poultry
Ingham's Bulk Chicken Thigh Fillets,$18.90 avg/ea,https://www.igashop.com.au/product/180000003455,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003455.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Chicken Drumsticks,$4.00 avg/ea,https://www.igashop.com.au/product/180018,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180018.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Chicken Mince,$9.50,https://www.igashop.com.au/product/180000001689,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001689.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Chicken Schnitzel Plain,$12.00,https://www.igashop.com.au/product/183214,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/183214.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Chicken Thigh Fillet,$8.13 avg/ea,https://www.igashop.com.au/product/180020,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180020.jpg",Ingham's,Chicken and Other Poultry
Ingham's Chicken Wings,$9.75 avg/ea,https://www.igashop.com.au/product/180021,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80071.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Free Range Whole Chicken,$16.00 avg/ea,https://www.igashop.com.au/product/180000001695,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001695.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Fresh Diced Chicken Breast,$15.50 avg/ea,https://www.igashop.com.au/product/180000000496,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000496.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Fresh Whole Chicken,$15.20 avg/ea,https://www.igashop.com.au/product/180000000501,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000501.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Quick Cook Crumbed Southern Style Tenders,$10.00,https://www.igashop.com.au/product/159456,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/159456.jpg",Ingham's,Chicken and Other Poultry
INGHAM'S Quick Cook Crumbed Sweet Chilli Chicken Tenders,$10.00,https://www.igashop.com.au/product/159448,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/159448.jpg",Ingham's,Chicken and Other Poultry
Inghams Chicken Tenders Sweet Chili,$10.00,https://www.igashop.com.au/product/180000002821,,Ingham,Chicken and Other Poultry
Italian Pork Sausage,$9.90,https://www.igashop.com.au/product/981476,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/981476.jpg",The Gourmet Sausage Company,Sausages and Burgers
Lamb Cutlets,$22.40 avg/ea,https://www.igashop.com.au/product/80080009,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080009.jpg",,"Beef, Pork and Lamb"
Lamb Loin Chop Loose,$17.00 avg/ea,https://www.igashop.com.au/product/80080010,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080010.jpg",,"Beef, Pork and Lamb"
Lemnos Haloumi Burger Original ,$7.15,https://www.igashop.com.au/product/1800000068767,,Lemnos,Sausages and Burgers
Luv-A-Duck Confit Duck Legs,$14.50,https://www.igashop.com.au/product/180000004900,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/Luv_A_Duck_Confit_Duck_Legs.jpg",Luv-A-Duck,Chicken and Other Poultry
Luv-A-Duck Peking Duck Legs,$14.80,https://www.igashop.com.au/product/180000004901,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/Luv_A_Duck_Peking_Duck_Legs.jpg",Luv-A-Duck,Chicken and Other Poultry
Pork Butterfly,$23.39 avg/ea,https://www.igashop.com.au/product/80080101,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080101.jpg",,"Beef, Pork and Lamb"
Pork Loin Chops,$11.50 avg/ea,https://www.igashop.com.au/product/80080037,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080037.jpg",,"Beef, Pork and Lamb"
Pork Medallions,$13.00 avg/ea,https://www.igashop.com.au/product/80080038,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080038.jpg",,"Beef, Pork and Lamb"
Prescotts Beef Blade Steak,$10.00 avg/ea,https://www.igashop.com.au/product/180000004692,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Chuck Steak,$10.50 avg/ea,https://www.igashop.com.au/product/180000004693,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Economy Rump,$13.50 avg/ea,https://www.igashop.com.au/product/180000004716,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Gravy Lean,$10.50 avg/ea,https://www.igashop.com.au/product/180000004690,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Lean Diced,$13.00 avg/ea,https://www.igashop.com.au/product/180000004689,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Lean Stir Fry,$12.50 avg/ea,https://www.igashop.com.au/product/180000004688,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Mince Lean,$10.50,https://www.igashop.com.au/product/180000004293,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Mince Lean,$10.50,https://www.igashop.com.au/product/180000004294,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Mince Premium,$9.50,https://www.igashop.com.au/product/180000004295,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Mince Premium,$12.00,https://www.igashop.com.au/product/180000004304,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Mince Regular,$7.00,https://www.igashop.com.au/product/180000004296,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Mince Regular,$7.00,https://www.igashop.com.au/product/180000004297,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Porterhouse Steak,$21.75 avg/ea,https://www.igashop.com.au/product/180000004684,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Porthouse Economy,$17.50 avg/ea,https://www.igashop.com.au/product/180000004715,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Rump Steak,$16.75 avg/ea,https://www.igashop.com.au/product/180000004686,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef Scotch Fillet Steak,$22.25 avg/ea,https://www.igashop.com.au/product/180000004685,,Prescotts,"Beef, Pork and Lamb"
Prescotts Beef T-Bone Steak,$14.00 avg/ea,https://www.igashop.com.au/product/180000004694,,Prescotts,"Beef, Pork and Lamb"
Prescotts Lamb Forequater Chops,$10.00 avg/ea,https://www.igashop.com.au/product/180000004700,,Prescotts,"Beef, Pork and Lamb"
Prescotts Lamb Mint Rosemary Mini Roast,$48.60 avg/ea,https://www.igashop.com.au/product/180000004718,,Prescotts,"Beef, Pork and Lamb"
Prescotts Pork & Veal Mince,$7.50,https://www.igashop.com.au/product/180000004300,,Prescotts,"Beef, Pork and Lamb"
Prescotts Pork Mince,$7.00,https://www.igashop.com.au/product/180000004299,,Prescotts,"Beef, Pork and Lamb"
Quick Cook Crumbed Chicken Crunchy Garlic,$10.95,https://www.igashop.com.au/product/128730,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/128730.jpg",Quick Cook,Chicken and Other Poultry
Slape & Sons Bbq Chipolata,$5.90,https://www.igashop.com.au/product/180000001390,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001390.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons BBQ Pack,$12.90,https://www.igashop.com.au/product/20000004919,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004919.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons BBQ Sausages,$5.90,https://www.igashop.com.au/product/966162,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/966162.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons British Pork Chipolata Sausages,$5.90,https://www.igashop.com.au/product/20000004963,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004963.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Chicken & Herb Sausages,$5.90,https://www.igashop.com.au/product/20000004964,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004964.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Chipolata Country Style,$5.90,https://www.igashop.com.au/product/29855,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/29855.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Old English Pork,$5.90,https://www.igashop.com.au/product/180000000361,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000361.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Ranchero Beef Sausages,$5.90,https://www.igashop.com.au/product/20000004966,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004966.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Sausage Meat,$5.90,https://www.igashop.com.au/product/913054,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/913054.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Tasty Rissoles,$7.90,https://www.igashop.com.au/product/20000004960,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004960.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Texas Beef Burger,$8.50,https://www.igashop.com.au/product/20000004972,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004972.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Traditional Country Style Thin,$7.00,https://www.igashop.com.au/product/181592,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/181592.jpg",Slape & Sons,Sausages and Burgers
Slape & Sons Traditional Range Aussie Beef Burgers,$12.00,https://www.igashop.com.au/product/20000001877,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001877.jpg",Slape & Sons,Sausages and Burgers
