title,price,productUrl,imageUrl,brand,category
Philadelphia Cream Cheese Original Block,$5.45,https://www.igashop.com.au/product/101018,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/101018.jpg",Philadelphia,"Ricotta, Cream and Cottage Cheese"
Bega Cheese Burger Slices,$5.55,https://www.igashop.com.au/product/735184,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/735184.jpg",Bega,Sliced Cheese
Philadelphia Original Spreadable Cream Cheese Tub,$5.50,https://www.igashop.com.au/product/103670,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/103670.jpg",Philadelphia,"Ricotta, Cream and Cottage Cheese"
Philadelphia Cream Cheese Block Twin,$10.00,https://www.igashop.com.au/product/114061,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/114061.jpg",Philadelphia,"Ricotta, Cream and Cottage Cheese"
Bega Cheese Slices Regular,$4.80,https://www.igashop.com.au/product/734277,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/734277.jpg",Bega,Sliced Cheese
Philadelphia Cream Cheese Spread Light Tub,$5.50,https://www.igashop.com.au/product/155376,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/155376.jpg",Philadelphia,"Ricotta, Cream and Cottage Cheese"
Philadelphia Original Spread Tub,$3.60,https://www.igashop.com.au/product/313408,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/313408.jpg",Philadelphia,"Ricotta, Cream and Cottage Cheese"
Arnott's Jatz & Tasty Cheese,$3.50,https://www.igashop.com.au/product/637807,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/637807.jpg",Arnott's,Snacking Cheese
Australian Gold Long Life Camembert,$4.50,https://www.igashop.com.au/product/183691,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/183691.jpg",Australian Gold,Brie and Soft Cheese
Australian Gold Longlife Creamy Brie,$4.50,https://www.igashop.com.au/product/183688,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/183688.jpg",Australian Gold,Brie and Soft Cheese
Babybel Cheese,$6.45,https://www.igashop.com.au/product/180000006209,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006209.jpg",Babybel,Snacking Cheese
Babybel Cheese Mini Rolls Original,$7.20,https://www.igashop.com.au/product/1800000068001,,Babybel,Snacking Cheese
Babybel Mini Cheese 5 Portions,$6.45,https://www.igashop.com.au/product/110180,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/110180.jpg",Babybel,Snacking Cheese
Babybel Mini Protein Cheeses,$6.45,https://www.igashop.com.au/product/317614,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/317614.jpg",Babybel,Snacking Cheese
Bega Cheese So Light Block,$10.80,https://www.igashop.com.au/product/1800000068276,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068276.jpg",Bega,Cheese Blocks
Bega Cheese Sticks,$5.50,https://www.igashop.com.au/product/502735,,Bega,Snacking Cheese
Bega Cheese Toastie,$7.75,https://www.igashop.com.au/product/1800000068142,,Bega,Cheese Blocks
