title,price,productUrl,imageUrl,brand,category
Allowrie Butter,$5.35,https://www.igashop.com.au/product/128816,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/128816.jpg",Allowrie,Spreads
Allowrie Unsalted Pat Butter,$5.35,https://www.igashop.com.au/product/100402,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/100402.jpg",Allowrie,Spreads
Ashgrove Herb & Garlic Butter,$9.35,https://www.igashop.com.au/product/9247,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/9247.jpg",Ashgrove,Spreads
Bertolli  Olive Oil Classic Spread,$4.50,https://www.igashop.com.au/product/137213,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/137213.jpg",Bertolli,Spreads
Black & Gold Large Caged Eggs,$6.00,https://www.igashop.com.au/product/393398,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/393398.jpg",Black & Gold,Eggs
Black & Gold Large Caged Eggs 18 Pack,$9.00,https://www.igashop.com.au/product/116754,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/116754.jpg",Black & Gold,Eggs
Black & Gold X-Large Caged Eggs,$6.20,https://www.igashop.com.au/product/174197,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/174197.jpg",Black & Gold,Eggs
Community Co Dairy Free Spread,$2.95,https://www.igashop.com.au/product/836176,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/836176.jpg",Community Co,Spreads
Community Co Eggs Jumbo Free Range,$9.50,https://www.igashop.com.au/product/621851,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/621851.jpg",Community Co,Eggs
Community Co Free Range X-Large Aussie Eggs,$8.10,https://www.igashop.com.au/product/495239,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/495239.jpg",Community Co,Eggs
Community Co Jumbo Free Range Eggs 18 Pack,$12.30,https://www.igashop.com.au/product/40429,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/40429.jpg",Community Co,Eggs
Copha Oil Solid Cooking Block,$3.60,https://www.igashop.com.au/product/100012,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/100012.jpg",Copha,Spreads
Devondale Dairy Soft Butter Blend,$7.50,https://www.igashop.com.au/product/195229,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/195229.jpg",Devondale,Spreads
Devondale Dairy Soft Salt Reduced Butter Blend,$7.50,https://www.igashop.com.au/product/195148,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/195148.jpg",Devondale,Spreads
Devondale Extra Soft Butter Blend,$7.50,https://www.igashop.com.au/product/198201,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/198201.jpg",Devondale,Spreads
Devondale Extra Soft Butter Blend,$9.95,https://www.igashop.com.au/product/696322,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/696322.jpg",Devondale,Spreads
ETA Generic Margarine 5 Star,$3.00,https://www.igashop.com.au/product/100004,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/100004.jpg",ETA,Spreads
Fairy Cooking Margarine,$2.95,https://www.igashop.com.au/product/20000001755,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001755.jpg",Fairy,Spreads
Flora Buttery,$4.70,https://www.igashop.com.au/product/125787,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/125787.jpg",Flora,Spreads
Flora Buttery,$7.90,https://www.igashop.com.au/product/518163,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/518163.jpg",Flora,Spreads
Flora Margarine Spread Light,$4.70,https://www.igashop.com.au/product/191178,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/191178.jpg",Flora,Spreads
Flora Margarine Spread Original,$7.90,https://www.igashop.com.au/product/100884,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/100884.jpg",Flora,Spreads
Flora Margarine Spread Original,$4.70,https://www.igashop.com.au/product/101050,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/101050.jpg",Flora,Spreads
Flora Margarine Spread Salt Reduced,$4.70,https://www.igashop.com.au/product/104163,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/104163.jpg",Flora,Spreads
Flora ProActiv Cholesterol Lowering Margarine Spread Light,$6.90,https://www.igashop.com.au/product/129503,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/129503.jpg",Flora,Spreads
Flora ProActiv Cholesterol Lowering Spread Buttery,$6.90,https://www.igashop.com.au/product/130054,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/130054.jpg",Flora,Spreads
Flora ProActiv Cholesterol Lowering Spread Buttery,$12.00,https://www.igashop.com.au/product/174155,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/174155.jpg",Flora,Spreads
Flora ProActiv Cholesterol Lowering Spread Buttery,$5.50,https://www.igashop.com.au/product/941769,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/941769.jpg",Flora,Spreads
Flora ProActiv Cholesterol Lowering Spread Original,$5.50,https://www.igashop.com.au/product/125591,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/125591.jpg",Flora,Spreads
Flora ProActiv Cholesterol Lowering Spread Original,$12.00,https://www.igashop.com.au/product/174422,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/174422.jpg",Flora,Spreads
Flora ProActiv Margarine Original Spread,$6.90,https://www.igashop.com.au/product/122501,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/122501.jpg",Flora,Spreads
Hunter Valley Eggs Free Range,$12.00,https://www.igashop.com.au/product/180000000376,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000376.jpg",Eggs Free Range,Eggs
Hunter Valley Free Range Eggs,$10.00,https://www.igashop.com.au/product/180000000298,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000298.jpg",Hunter Valley,Eggs
Kerrygold Butter Unsalted,$7.20,https://www.igashop.com.au/product/180000000360,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000360.jpg",Kerrygold,Spreads
Kerrygold Pure Irish Butter,$6.50,https://www.igashop.com.au/product/190000002267,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000002267.jpg",Kerrygold,Spreads
Lurpak Butter Salted,$9.00,https://www.igashop.com.au/product/540432,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/540432.jpg",Lurpak,Spreads
Lurpak Butter Spread Slightly Salted,$8.20,https://www.igashop.com.au/product/20000000290,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000290.jpg",Lurpak,Spreads
Lurpak Lighter Blend Spreadable Butter,$6.00,https://www.igashop.com.au/product/993737,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/993737.jpg",Lurpak,Spreads
Lurpak Slightly Salted Danish Butter,$5.50,https://www.igashop.com.au/product/994453,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/994453.jpg",Lurpak,Spreads
Lurpak Spreadable Slightly Salted,$6.00,https://www.igashop.com.au/product/994518,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/994518.jpg",Lurpak,Spreads
Lurpak Unsalted Danish Butter,$5.50,https://www.igashop.com.au/product/994445,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/994445.jpg",Lurpak,Spreads
Luv-A-Duck Duck Fat,$6.65,https://www.igashop.com.au/product/20000001962,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001962.jpg",Luv-A-Duck,Smallgoods
Mainland Buttersoft Salt Reduced Spreadable Butter,$8.50,https://www.igashop.com.au/product/168222,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/168222.jpg",Mainland,Spreads
Mainland Buttersoft Salted Spreadable Butter,$8.50,https://www.igashop.com.au/product/171267,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/171267.jpg",Mainland,Spreads
Mainland Buttersoft Salted Spreadable Butter,$7.20,https://www.igashop.com.au/product/172255,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/172255.jpg",Mainland,Spreads
MeadowLea Buttery Margarine Spread,$4.50,https://www.igashop.com.au/product/789926,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/789926.jpg",MeadowLea,Spreads
