title,price,productUrl,imageUrl,brand,category
A2 Full Cream Milk,$6.90,https://www.igashop.com.au/product/882761,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/882761.jpg",A2,Full Cream
A2 Light Milk,$6.90,https://www.igashop.com.au/product/882614,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/882614.jpg",A2,Skim and Low Fat Milk
A2 Light Milk,$3.90,https://www.igashop.com.au/product/882703,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/882703.jpg",A2,Skim and Low Fat Milk
A2 Milk Full Cream,$3.90,https://www.igashop.com.au/product/882575,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/882575.jpg",A2,Full Cream
A2 Milk Full Cream Milk,$9.90,https://www.igashop.com.au/product/726347,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/726347.jpg",A2 Milk,Full Cream
A2 Milk Lactose Free Full Cream Milk,$6.90,https://www.igashop.com.au/product/87769,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87769.jpg",A2,Full Cream
A2 Milk Lactose Free Full Cream Milk,$3.90,https://www.igashop.com.au/product/87934,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87934.jpg",A2,Full Cream
A2 Milk Lactose Free Light Milk,$6.90,https://www.igashop.com.au/product/87895,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87895.jpg",A2,Skim and Low Fat Milk
A2 Milk Lactose Free Light Milk,$3.90,https://www.igashop.com.au/product/87942,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87942.jpg",A2,Skim and Low Fat Milk
Black & Gold Sour Cream,$3.09,https://www.igashop.com.au/product/185460,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/185460.jpg",Black & Gold,Cream and Cooking Creams
Black & Gold Thickened Cream,$4.69,https://www.igashop.com.au/product/110295,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/110295.jpg",Black & Gold,Cream and Cooking Creams
Black & Gold Thickened Cream,$2.79,https://www.igashop.com.au/product/118099,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/118099.jpg",Black & Gold,Cream and Cooking Creams
Bulla Cooking Cream,$3.80,https://www.igashop.com.au/product/198015,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/198015.jpg",Bulla,Cream and Cooking Creams
Bulla Dollop Thick Cream,$3.90,https://www.igashop.com.au/product/139883,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/139883.jpg",Bulla,Cream and Cooking Creams
Bulla Double Cream,$4.45,https://www.igashop.com.au/product/856781,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/856781.jpg",Bulla,Cream and Cooking Creams
Bulla Light Sour Cream,$3.80,https://www.igashop.com.au/product/130067,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/130067.jpg",Bulla,Cream and Cooking Creams
Bulla Light Thickened Cream,$3.60,https://www.igashop.com.au/product/117530,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/117530.jpg",Bulla,Cream and Cooking Creams
Bulla Premium Sour Cream,$3.80,https://www.igashop.com.au/product/192603,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/192603.jpg",Bulla,Cream and Cooking Creams
Bulla Sour Cream,$5.65,https://www.igashop.com.au/product/919364,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/919364.jpg",Bulla,Cream and Cooking Creams
Bulla Sour Cream Light Lactose Free,$4.20,https://www.igashop.com.au/product/642462,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/642462.jpg",Bulla,Cream and Cooking Creams
Bulla Thickened Cream,$6.20,https://www.igashop.com.au/product/102551,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/102551.jpg",Bulla,Cream and Cooking Creams
Bulla Thickened Cream,$3.60,https://www.igashop.com.au/product/102569,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/102569.jpg",Bulla,Cream and Cooking Creams
Clovervale Milk Lite ,$3.20,https://www.igashop.com.au/product/1800000068755,,Clovervale,Skim and Low Fat Milk
Clovervale Milk Lite ,$4.65,https://www.igashop.com.au/product/1800000068756,,Clovervale,Skim and Low Fat Milk
Clovervale Milk Whole ,$4.65,https://www.igashop.com.au/product/1800000068898,,Clovervale,Full Cream
Clovervale Milk Whole ,$3.20,https://www.igashop.com.au/product/1800000068899,,Clovervale,Full Cream
Dairy Farmers Buttermilk,$2.85,https://www.igashop.com.au/product/122064,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/122064.jpg",Dairy Farmers,Soy and Specialty Milk
Dairy Farmers Full Cream Milk,$6.10,https://www.igashop.com.au/product/117459,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/117459.jpg",Dairy Farmers,Full Cream
Dairy Farmers Full Cream Milk,$4.10,https://www.igashop.com.au/product/118057,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/118057.jpg",Dairy Farmers,Full Cream
Dairy Farmers Full Cream Milk Lactose Free,$5.00,https://www.igashop.com.au/product/258140,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/258140.jpg",Dairy Farmers,Full Cream
Dairy Farmers Heart Active Milk,$3.85,https://www.igashop.com.au/product/432883,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/432883.jpg",Dairy Farmers,Skim and Low Fat Milk
Dairy Farmers Lite Milk,$4.50,https://www.igashop.com.au/product/164430,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/164430.jpg",Dairy Farmers,Skim and Low Fat Milk
Dairy Farmers Lite Milk,$3.20,https://www.igashop.com.au/product/180460,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180460.jpg",Dairy Farmers,Skim and Low Fat Milk
Dairy Farmers Lite Milk Lactose Free,$5.00,https://www.igashop.com.au/product/258051,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/258051.jpg",Dairy Farmers,Full Cream
Dairy Farmers Protein Smoothie Chocolate,$4.50,https://www.igashop.com.au/product/180000006397,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006397.jpg",Dairy Farmers,Flavoured Milk
Dairy Farmers Protein Smoothie Mix Berry,$4.50,https://www.igashop.com.au/product/180000006399,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006399.jpg",Dairy Farmers,Flavoured Milk
Dairy Farmers Shape Bottle,$2.95,https://www.igashop.com.au/product/193510,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/193510.jpg",Dairy Farmers,Skim and Low Fat Milk
Dairy Farmers Shape No Fat Milk Bottle,$5.20,https://www.igashop.com.au/product/150392,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150392.jpg",Dairy Farmers,Skim and Low Fat Milk
Dairy Farmers Skim Milk Bottle,$3.15,https://www.igashop.com.au/product/908355,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/908355.jpg",Dairy Farmers,Skim and Low Fat Milk
Dairy Farmers Smoothies Banana Honey,$4.50,https://www.igashop.com.au/product/180000006398,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006398.jpg",Dairy Farmers,Flavoured Milk
Dairy Farmers Sour Cream,$3.70,https://www.igashop.com.au/product/160473,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160473.jpg",Dairy Farmers,Cream and Cooking Creams
Dairy Farmers Whole Milk,$3.15,https://www.igashop.com.au/product/180478,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180478.jpg",Dairy Farmers,Full Cream
Dare Charged Strong Latte ,$3.50,https://www.igashop.com.au/product/180000006400,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006400.jpg",Dare,Flavoured Milk
Dare Intense Espresso ,$4.35,https://www.igashop.com.au/product/180000006408,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006408.jpg",Dare,Flavoured Milk
Dare No Added Sugar Intense,$4.25,https://www.igashop.com.au/product/180000005107,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000005107.jpg",Dare,Flavoured Milk
Dare Protein No Added Sugar Double Espresso,$4.60,https://www.igashop.com.au/product/180000005108,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000005108.jpg",Dare,Flavoured Milk
Family Farm Full Cream Milk,$3.20,https://www.igashop.com.au/product/190000004096,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000004096.jpg",Family Farm,Full Cream
Family Farm Full Cream Milk,$4.65,https://www.igashop.com.au/product/20000003868,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003868.jpg",Family Farm,Full Cream
Family Farm Milk Lite,$3.20,https://www.igashop.com.au/product/190000003995,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003995.jpg",Family Farm,Skim and Low Fat Milk
Farmhouse Gold Full Cream Milk,$4.45,https://www.igashop.com.au/product/476489,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/476489.jpg",Pauls,Full Cream
Nestlé Carnation Lite Cooking Cream,$3.50,https://www.igashop.com.au/product/20000002206,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000002206.jpg",Nestlé,Cream and Cooking Creams
Nippy's Iced Chocolate Flavoured Milk,$6.00,https://www.igashop.com.au/product/160000014457,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000014457.jpg",Nippy's,Flavoured Milk
Nippy's Iced Coffee,$3.50,https://www.igashop.com.au/product/378102,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/378102.jpg",Nippy's,Flavoured Milk
Nippy's Iced Coffee Flavoured Milk,$6.00,https://www.igashop.com.au/product/160000014456,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000014456.jpg",Nippy's,Flavoured Milk
Nippy's Iced Mocha,$3.50,https://www.igashop.com.au/product/20000001468,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001468.jpg",Nippy's,Flavoured Milk
Norco Cream Thickened,$6.00,https://www.igashop.com.au/product/933910,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/933910.jpg",Norco,Cream and Cooking Creams
Norco Finest Full Cream Milk,$4.55,https://www.igashop.com.au/product/10990258,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/10990258.jpg",Norco,Full Cream
Norco Fresh Full Cream Milk,$2.75,https://www.igashop.com.au/product/936803,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/936803.jpg",Norco,Full Cream
Norco Fresh Full Cream Milk,$4.20,https://www.igashop.com.au/product/936837,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/936837.jpg",Norco,Full Cream
Norco Fresh Full Cream Milk,$6.15,https://www.igashop.com.au/product/936861,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/936861.jpg",Norco,Full Cream
Norco Fresh Skim Milk,$4.50,https://www.igashop.com.au/product/937029,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/937029.jpg",Norco,Skim and Low Fat Milk
Norco Lactose Free Full Cream Milk,$3.10,https://www.igashop.com.au/product/20000006273,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006273.jpg",Norco,Full Cream
Norco Lactose Free Lite Milk,$5.50,https://www.igashop.com.au/product/180000000269,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000269.jpg",Norco,Soy and Specialty Milk
Norco Lactose Free Milk,$3.10,https://www.igashop.com.au/product/8565,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8565.jpg",Norco,Soy and Specialty Milk
Norco Lite Milk,$3.00,https://www.igashop.com.au/product/8327,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8327.jpg",Norco,Skim and Low Fat Milk
Norco Milk Lactose Free Full Cream,$5.50,https://www.igashop.com.au/product/180000000294,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000294.jpg",Norco,Soy and Specialty Milk
Norco Milk Real Iced Coffee Original,$4.00,https://www.igashop.com.au/product/180000000383,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000383.jpg",Norco,Flavoured Milk
"Norco Natural Malt, Honey & Chocolate Milk",$4.00,https://www.igashop.com.au/product/190000003871,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003871.jpg",Norco,Flavoured Milk
Norco Our Finest Unhomogenised Milk,$4.55,https://www.igashop.com.au/product/8847,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8847.jpg",Norco,Full Cream
Norco Pure Cream,$6.00,https://www.igashop.com.au/product/20000001456,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001456.jpg",Norco,Cream and Cooking Creams
Norco Pure Cream Milk,$3.50,https://www.igashop.com.au/product/8329,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8329.jpg",Norco,Cream and Cooking Creams
Norco Pure Jersey Milk,$5.50,https://www.igashop.com.au/product/9871974,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/9871974.jpg",Norco,Full Cream
Norco Real Iced Chocolate,$4.00,https://www.igashop.com.au/product/180000000327,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000327.jpg",Norco,Flavoured Milk
Norco Real Iced-Coffee Tripple Shot,$4.00,https://www.igashop.com.au/product/180000000299,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000299.jpg",Norco,Flavoured Milk
Norco Reduced Fat Milk,$4.50,https://www.igashop.com.au/product/8326,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8326.jpg",Norco,Skim and Low Fat Milk
Norco Skim Milk,$3.00,https://www.igashop.com.au/product/8341,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8339.jpg",Norco,Skim and Low Fat Milk
Norco Sour Cream,$3.40,https://www.igashop.com.au/product/8331,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8331.jpg",Norco,Cream and Cooking Creams
Norco Thickened Cream,$3.50,https://www.igashop.com.au/product/8330,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8330.jpg",Norco,Cream and Cooking Creams
OAK Banana Flavoured Milk,$4.25,https://www.igashop.com.au/product/698905,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/698905.jpg",OAK,Flavoured Milk
OAK Chocolate,$2.50,https://www.igashop.com.au/product/683188,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/683188.jpg",OAK,Flavoured Milk
OAK Chocolate,$7.70,https://www.igashop.com.au/product/872889,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/872889.jpg",OAK,Flavoured Milk
OAK Chocolate,$5.30,https://www.igashop.com.au/product/903253,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/903253.jpg",OAK,Flavoured Milk
OAK Chocolate Flavoured Milk,$4.25,https://www.igashop.com.au/product/877863,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/877863.jpg",OAK,Flavoured Milk
OAK Iced Coffee,$2.50,https://www.igashop.com.au/product/683170,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/683170.jpg",OAK,Flavoured Milk
OAK Iced Coffee Flavoured Milk,$4.25,https://www.igashop.com.au/product/159362,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/159362.jpg",OAK,Flavoured Milk
OAK Plus Protein Chocolate,$4.00,https://www.igashop.com.au/product/29596,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/29596.jpg",Oak,Flavoured Milk
OAK Plus Protein Vanilla Flavoured Milk,$4.00,https://www.igashop.com.au/product/29619,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/29619.jpg",Oak,Flavoured Milk
Oak Plus Salted Caramel Flavoured Milk,$4.00,https://www.igashop.com.au/product/180000006368,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006368.jpg",Oak,Flavoured Milk
OAK Strawberry,$2.50,https://www.igashop.com.au/product/683196,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/683196.jpg",OAK,Flavoured Milk
OAK Strawberry,$5.30,https://www.igashop.com.au/product/732681,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/732681.jpg",OAK,Flavoured Milk
OAK Strawberry,$7.70,https://www.igashop.com.au/product/975881,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/975881.jpg",OAK,Flavoured Milk
OAK Strawberry Flavoured Milk,$4.25,https://www.igashop.com.au/product/877871,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/877871.jpg",OAK,Flavoured Milk
OAK Vanilla Malt Flavoured Milk,$4.25,https://www.igashop.com.au/product/908347,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/908347.jpg",OAK,Flavoured Milk
Pauls Farmhouse Gold Full Cream Milk,$3.10,https://www.igashop.com.au/product/599915,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/599915.jpg",Pauls,Full Cream
Pauls Farmhouse Gold Milk Cream On Top,$4.45,https://www.igashop.com.au/product/476492,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/476492.jpg",Pauls,Full Cream
Pauls Plus Banana Honey Flavoured Milk,$4.20,https://www.igashop.com.au/product/180000006366,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006366.jpg",Pauls,Flavoured Milk
Pauls Plus Chocolate Flavoured Milk,$4.20,https://www.igashop.com.au/product/180000006365,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006365.jpg",Pauls,Flavoured Milk
Pauls Skim Fat Free Milk,$6.65,https://www.igashop.com.au/product/125339,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/125339.jpg",Pauls,Skim and Low Fat Milk
Pauls Smarter Reduced Fat Milk,$3.20,https://www.igashop.com.au/product/6146,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/6146.jpg",Pauls,Skim and Low Fat Milk
