title,price,productUrl,imageUrl,brand,category
Farmers Union Greek Style Yoghurt,$6.95,https://www.igashop.com.au/product/148531,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/148531.jpg",Farmers Union,Greek Yoghurt
Yoplait Yoghurt Vanilla,$4.95,https://www.igashop.com.au/product/152446,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/152446.jpg",Yoplait,Flavoured Yoghurt
Yoplait Yoghurt Strawberry,$4.95,https://www.igashop.com.au/product/152289,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/152289.jpg",Yoplait,Flavoured Yoghurt
Dairy Farmers Thick & Creamy Yoghurt Classic Vanilla,$5.65,https://www.igashop.com.au/product/101623,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/101623.jpg",Dairy Farmers,Flavoured Yoghurt
Dairy Farmers Thick & Creamy Yoghurt Field Strawberry,$5.65,https://www.igashop.com.au/product/180818,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180818.jpg",Dairy Farmers,Flavoured Yoghurt
Bulla Creamy Australian Style Yoghurt Blueberry,$1.90,https://www.igashop.com.au/product/180000003521,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003521.jpg",Bulla,Flavoured Yoghurt
Bulla Creamy Australian Style Yoghurt Mango,$1.75,https://www.igashop.com.au/product/674388,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/674388.jpg",Bulla,Flavoured Yoghurt
Bulla Creamy Australian Style Yoghurt Strawberry,$1.75,https://www.igashop.com.au/product/674419,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/674419.jpg",Bulla,Flavoured Yoghurt
Chobani Fit Greek Yogurt Banana Pouch ,$3.00,https://www.igashop.com.au/product/1800000068915,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068915.jpg",Chobani,Flavoured Yoghurt
Chobani Fit Greek Yogurt Mango Pouch ,$3.00,https://www.igashop.com.au/product/1800000068920,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068920.jpg",Chobani,Flavoured Yoghurt
Chobani Fit Greek Yogurt Raspberry Pouch ,$3.00,https://www.igashop.com.au/product/1800000068916,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068916.jpg",Chobani,Flavoured Yoghurt
Chobani Fit Greek Yogurt Strawberry Pouch ,$3.00,https://www.igashop.com.au/product/1800000068917,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068917.jpg",Chobani,Flavoured Yoghurt
Chobani Fit Greek Yogurt Tropical Pouch,$3.00,https://www.igashop.com.au/product/1800000068918,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068918.jpg",Chobani,Flavoured Yoghurt
Chobani Fit Greek Yogurt Vanilla Pouch,$3.00,https://www.igashop.com.au/product/1800000068919,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068919.jpg",Chobani,Flavoured Yoghurt
