title,price,productUrl,imageUrl,brand,category
Apples Missile,$0.05 avg/ea,https://www.igashop.com.au/product/80060229,,,"Apples, Pears and Bananas"
Bananas,$1.06 avg/ea,https://www.igashop.com.au/product/80060017,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060017.jpg",,"Apples, Pears and Bananas"
Blueberry Punnet,$3.90,https://www.igashop.com.au/product/80050023,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050023.jpg",,"Berries, Cherries and Grapes"
Calypso Mango,$3.90,https://www.igashop.com.au/product/80050083,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050083.jpg",,"Peaches, Nectarines, Melons & Mangoes"
Corella Pears,$1.45 avg/ea,https://www.igashop.com.au/product/80060026,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060026.jpg",,"Apples, Pears and Bananas"
Dates Natural,$14.90,https://www.igashop.com.au/product/180000002202,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000002202.jpg",,"Pineapples, Kiwi Fruit and Tropical Fruit"
Granny Smith Apples,$1.00 avg/ea,https://www.igashop.com.au/product/80060027,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060027.jpg",,"Apples, Pears and Bananas"
Grapefruit,$1.46 avg/ea,https://www.igashop.com.au/product/80060129,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060129.jpg",,Citrus Fruit
Green Grape Cluster,$12.67 avg/ea,https://www.igashop.com.au/product/80060074,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060074.jpg",,"Berries, Cherries and Grapes"
Green Kiwi Fruit,$1.90,https://www.igashop.com.au/product/80050040,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050040.jpg",,"Pineapples, Kiwi Fruit and Tropical Fruit"
Green Pears,$1.03 avg/ea,https://www.igashop.com.au/product/80060093,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060093.jpg",,"Apples, Pears and Bananas"
Half Honeydew,$4.90,https://www.igashop.com.au/product/80050037,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050037.jpg",,"Peaches, Nectarines, Melons & Mangoes"
Half Pineapple,$6.90,https://www.igashop.com.au/product/80050055,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050055.jpg",,"Pineapples, Kiwi Fruit and Tropical Fruit"
Half Rockmelon,$4.90,https://www.igashop.com.au/product/80050098,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050098.jpg",,"Peaches, Nectarines, Melons & Mangoes"
Imperial Mandarins,$0.81 avg/ea,https://www.igashop.com.au/product/80060045,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060045.jpg",,Citrus Fruit
Jazz Apples,$1.26 avg/ea,https://www.igashop.com.au/product/80060108,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060108.jpg",,"Apples, Pears and Bananas"
Lemons,$0.89 avg/ea,https://www.igashop.com.au/product/80060043,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060043.jpg",,Citrus Fruit
Limes,$1.25 avg/ea,https://www.igashop.com.au/product/80060044,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060044.jpg",,Citrus Fruit
Nashi Pears,$1.87 avg/ea,https://www.igashop.com.au/product/80060111,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060111.jpg",,"Apples, Pears and Bananas"
Navel Oranges,$1.01 avg/ea,https://www.igashop.com.au/product/80060051,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060051.jpg",,Citrus Fruit
Orange Prepack 3kg,$7.90,https://www.igashop.com.au/product/80050109,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050109.jpg",,Citrus Fruit
Passionfruit,$1.90,https://www.igashop.com.au/product/80050054,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050054.jpg",,"Pineapples, Kiwi Fruit and Tropical Fruit"
Pink Lady Apples,$0.80 avg/ea,https://www.igashop.com.au/product/80060028,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060028.jpg",,"Apples, Pears and Bananas"
Pomegranate,$5.90,https://www.igashop.com.au/product/80050111,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050111.jpg",,"Pineapples, Kiwi Fruit and Tropical Fruit"
Raspberry Punnet,$8.90,https://www.igashop.com.au/product/80050149,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050149.jpg",,"Berries, Cherries and Grapes"
Red Delicious Apples,$0.97 avg/ea,https://www.igashop.com.au/product/80060165,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060165.jpg",,"Apples, Pears and Bananas"
Red Grapes Cluster,$10.43 avg/ea,https://www.igashop.com.au/product/80060075,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060075.jpg",,"Berries, Cherries and Grapes"
Red Watermelon Quarter,$7.35 avg/ea,https://www.igashop.com.au/product/80060071,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060071.jpg",,"Peaches, Nectarines, Melons & Mangoes"
Royal Gala Apples,$1.10 avg/ea,https://www.igashop.com.au/product/80060076,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060076.jpg",,"Apples, Pears and Bananas"
Strawberry Punnet,$2.50,https://www.igashop.com.au/product/80050030,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050030.jpg",,"Berries, Cherries and Grapes"
Whole Honeydew,$7.90,https://www.igashop.com.au/product/80050036,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050036.jpg",,"Peaches, Nectarines, Melons & Mangoes"
