title,price,productUrl,imageUrl,brand,category
Community Co Asian Style Salad Bowl,$5.70,https://www.igashop.com.au/product/190000001531,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000001531.jpg",Community Co,Prepared Salads
Community Co Aussie Mix,$3.00,https://www.igashop.com.au/product/696911,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/696911.jpg",Community Co,Salad Bags
Community Co Baby Potato Steamer Tray,$4.90,https://www.igashop.com.au/product/421219,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/421219.jpg",Community Co,Salad Bags
Community Co Baby Rocket,$3.00,https://www.igashop.com.au/product/688701,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/688701.jpg",Community Co,Salad Bags
Community Co Baby Spinach,$2.70,https://www.igashop.com.au/product/689757,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/689757.jpg",Community Co,Salad Bags
Community Co Baby Spinach & Rocket,$2.70,https://www.igashop.com.au/product/685850,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/685850.jpg",Community Co,Salad Bags
Community Co Caesar Salad Bowl,$5.70,https://www.igashop.com.au/product/190000001530,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000001530.jpg",Community Co,Prepared Salads
Community Co Caesar Salad Kit,$5.80,https://www.igashop.com.au/product/420768,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/420768.jpg",Community Co,Salad Bags
Community Co Coleslaw,$2.50,https://www.igashop.com.au/product/421175,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/421175.jpg",Community Co,Salad Bags
Community Co Crunchy Noodle Salad Kit,$5.30,https://www.igashop.com.au/product/170000004668,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000004668.jpg",Community Co,Salad Bags
Community Co Garden Salad Bowl,$5.70,https://www.igashop.com.au/product/190000001532,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000001532.jpg",Community Co,Prepared Salads
Community Co Salad Kit Asian,$5.30,https://www.igashop.com.au/product/1800000067476,,Community Co,Salad Bags
Community Co Shredded Iceberg Lettuce,$2.50,https://www.igashop.com.au/product/422126,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/422126.jpg",Community Co,Salad Bags
Coolibah Baby Spinach,$3.90,https://www.igashop.com.au/product/20000003053,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003053.jpg",Coolibah,Salad Bags
Coolibah Gourmet Salad Mix,$3.90,https://www.igashop.com.au/product/20000003051,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003051.jpg",Coolibah,Salad Bags
Coolibah Wild Roquette,$3.50,https://www.igashop.com.au/product/20000003052,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003052.jpg",Coolibah,Salad Bags
Gourmet Garden Chilli Lightly Dried,$4.80,https://www.igashop.com.au/product/180000005506,,Gourmet Garden,Herbs
Gourmet Garden Ginger,$4.90,https://www.igashop.com.au/product/180000001846,,Gourmet Garden,Herbs
Gourmet Garden Mixed Herbs Lightly Dried,$4.80,https://www.igashop.com.au/product/180000005507,,Gourmet Garden,Herbs
Local Kitchen Creamy Coleslaw,$4.00,https://www.igashop.com.au/product/457244,,Local Kitchen,Prepared Salads
Local Kitchen Creamy Pasta,$4.00,https://www.igashop.com.au/product/467650,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/467650.jpg",Local Kitchen,Prepared Salads
Local Kitchen Creamy Potato,$4.00,https://www.igashop.com.au/product/465695,,Local Kitchen,Prepared Salads
Local Kitchen Potato Egg Bacon Salad,$5.00,https://www.igashop.com.au/product/465572,,Local Kitchen,Prepared Salads
Sakad Servers Salad Tabbouleh,$5.90,https://www.igashop.com.au/product/712217,,Salad Servers,Prepared Salads
Salad Servers Chicken Mustard Pasta,$5.90,https://www.igashop.com.au/product/190000001092,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000001092.jpg",Salad Servers,Prepared Salads
