title,price,productUrl,imageUrl,brand,category
 Baby Capsicums,$5.90,https://www.igashop.com.au/product/1800000069176,,,"Tomatoes, Avocados, Capsicum and Mushrooms"
 Enoki Mushrooms,$5.90,https://www.igashop.com.au/product/1800000069177,,,"Tomatoes, Avocados, Capsicum and Mushrooms"
 Fresh Baby Corn,$4.90,https://www.igashop.com.au/product/1800000069180,,,"Peas, Beans, Corn and Asparagus"
 Sweet Corn,$5.90,https://www.igashop.com.au/product/1800000069181,,,"Peas, Beans, Corn and Asparagus"
Alfalfa Beanshoots,$1.90,https://www.igashop.com.au/product/180000000654,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000654.jpg",,"Garlic, Chillies and Fresh Herbs"
Australian Grown Beetroot,$4.90,https://www.igashop.com.au/product/746033,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/746033.jpg",Australian Grown,Carrots and Other Root Vegetables
Avofresh Avocado,$6.90,https://www.igashop.com.au/product/180000001388,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001388.jpg",Avofresh,"Tomatoes, Avocados, Capsicum and Mushrooms"
Avofresh Avocado Smashed,$6.90,https://www.igashop.com.au/product/644561,,Avofresh,"Tomatoes, Avocados, Capsicum and Mushrooms"
Avofresh Chunky Lemon,$6.90,https://www.igashop.com.au/product/180000002046,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000002046.jpg",Avofresh,"Tomatoes, Avocados, Capsicum and Mushrooms"
Avofresh Classic Guacamole,$6.90,https://www.igashop.com.au/product/180000002047,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000002047.jpg",Avofresh,"Tomatoes, Avocados, Capsicum and Mushrooms"
Avofrsh Avocado Soft Lemon,$6.90,https://www.igashop.com.au/product/180000006115,,Avofresh,"Tomatoes, Avocados, Capsicum and Mushrooms"
Baby Beetroot Prepack,$4.90,https://www.igashop.com.au/product/80050129,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050129.jpg",,Carrots and Other Root Vegetables
Baby Broccoli Bunch,$2.90,https://www.igashop.com.au/product/80050001,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050001.jpg",,"Broccoli, Cauliflower and Cabbage"
Baby Corn Prepack,$4.90,https://www.igashop.com.au/product/80050130,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050130.jpg",,"Peas, Beans, Corn and Asparagus"
