title,price,productUrl,imageUrl,brand,category
Australian Botanical Sandalwood Soap,$4.95,https://www.igashop.com.au/product/180000001819,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001819.jpg",Aus Botanical,Bar Soap
Australian Botanical Soap Goats Milk,$4.95,https://www.igashop.com.au/product/301998,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/301998.jpg",Australian Botanical,Bar Soap
Australian Botanical Soap Lemongrass,$4.95,https://www.igashop.com.au/product/302198,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/302198.jpg",Australian Botanical,Bar Soap
Australian Botanical Soap Olive Oil,$4.95,https://www.igashop.com.au/product/302216,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/302216.jpg",Australian Botanical,Bar Soap
Australian Botanical Soap Rose Geranium,$4.95,https://www.igashop.com.au/product/302143,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/302143.jpg",Australian Botanical,Bar Soap
Aveeno Daily Moisturising Wash,$16.50,https://www.igashop.com.au/product/878982,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/878982.jpg",Aveeno,Body Wash and Shower Gel
Bathox Handwash Industrial Heavy Duty,$5.00,https://www.igashop.com.au/product/16000001520,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/16000001520.jpg",Bathox,Handwash and Hand Sanitisers
Bosisto's Hand Wash Banksia Flower & Lavender Refill,$15.00,https://www.igashop.com.au/product/737830,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/737830.jpg",Bosisto's,Handwash and Hand Sanitisers
Bosisto's Hand Wash Desert Lime & Eucalyptus,$15.00,https://www.igashop.com.au/product/737576,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/737576.jpg",Bosisto's,Handwash and Hand Sanitisers
Cashmere Bouquet Bar Soap Lavender,$4.00,https://www.igashop.com.au/product/311922,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/311922.jpg",Cashmere Bouquet,Bar Soap
Community Co Body Wash Coco Honey,$4.50,https://www.igashop.com.au/product/989615,,Community Co,Body Wash and Shower Gel
Community Co Body Wash Cucumber & Aloe,$4.50,https://www.igashop.com.au/product/989759,,Community Co,Body Wash and Shower Gel
Community Co Coconut & Coffee Soap,$3.40,https://www.igashop.com.au/product/847287,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/847287.jpg",Community Co,Bar Soap
Community Co Goat Milk & Lemon Myrtle Soap,$3.40,https://www.igashop.com.au/product/847193,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/847193.jpg",Community Co,Bar Soap
Country Life Soap For Tradies,$4.60,https://www.igashop.com.au/product/407058,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/407058.jpg",Country Life,Bar Soap
Cussons Oatmeal Soap,$5.00,https://www.igashop.com.au/product/351561,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/351561.jpg",Cussons,Bar Soap
Dermaveen Daily Nourish Soap Free,$17.00,https://www.igashop.com.au/product/796693,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/796693.jpg",DermaVeen,Body Wash and Shower Gel
Dermaveen Soap-free Body Wash Oatmeal,$20.00,https://www.igashop.com.au/product/796732,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/796732.jpg",DermaVeen,Body Wash and Shower Gel
Dermeze Soap Free Body Wash,$18.00,https://www.igashop.com.au/product/337290,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/337290.jpg",Dermeze,Body Wash and Shower Gel
Dettol 2 in 1 Hands and Surfaces Antibacterial Wipes,$2.40,https://www.igashop.com.au/product/876825,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/876825.jpg",Dettol,Handwash and Hand Sanitisers
