title,price,productUrl,imageUrl,brand,category
Colgate 360 Degrees Advanced Plaque Removal Toothbrush Medium,$6.00,https://www.igashop.com.au/product/759858,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/759858.jpg",Colgate,Tooth Brushes
Colgate 360 Degrees Whole Mouth Clean Compact Head Toothbrush Medium,$6.75,https://www.igashop.com.au/product/305002,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/305002.jpg",Colgate,Tooth Brushes
Colgate 360 Degrees Whole Mouth Clean Compact Head Toothbrush Soft,$6.75,https://www.igashop.com.au/product/374019,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/374019.jpg",Colgate,Tooth Brushes
Colgate 360° Optic White Power toothbrush Medium with vibrating & polishing bristles,$6.85,https://www.igashop.com.au/product/87837,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87837.jpg",Colgate,Tooth Brushes
"Colgate 360° Whole Mouth Clean Manual Toothbrush, Medium Bristles",$4.00,https://www.igashop.com.au/product/4648,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/4648.jpg",Colgate,Tooth Brushes
Colgate Advanced Whitening Charcoal Toothpaste,$8.40,https://www.igashop.com.au/product/515005,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/515005.jpg",Colgate,Tooth Paste
Colgate Advanced Whitening Tartar Control Toothpaste,$6.25,https://www.igashop.com.au/product/514839,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514839.jpg",Colgate,Tooth Paste
Colgate Advanced Whitening Tartar Control Toothpaste,$8.40,https://www.igashop.com.au/product/514863,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514863.jpg",Colgate,Tooth Paste
Colgate Advanced Whitening Toothpaste,$6.25,https://www.igashop.com.au/product/514847,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514847.jpg",Colgate,Tooth Paste
Colgate Advanced Whitening Toothpaste,$8.40,https://www.igashop.com.au/product/514973,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/514973.jpg",Colgate,Tooth Paste
Colgate Brush Gentle Comfort Clean Soft,$9.00,https://www.igashop.com.au/product/189613,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/189613.jpg",Colgate,Tooth Brushes
Colgate Cavity Protection Cool Mint Fluoride Toothpaste,$3.40,https://www.igashop.com.au/product/61331,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/61331.jpg",Colgate,Tooth Paste
Colgate Cavity Protection Great Regular Flavour Fluoride Toothpaste with Liquid Calcium,$2.80,https://www.igashop.com.au/product/440292,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/440292.jpg",Colgate,Tooth Paste
Colgate Cavity Protection Great Regular Flavour Toothpaste,$3.40,https://www.igashop.com.au/product/61357,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/61357.jpg",Colgate,Tooth Paste
Colgate Dental Ribbon Total Mint Waxed 100m,$6.90,https://www.igashop.com.au/product/189605,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/189605.jpg",Colgate,Denture Care
Colgate Dental Ribbon Waxed 50m,$3.50,https://www.igashop.com.au/product/311846,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/311846.jpg",Colgate,Dental Floss and Tape
Colgate Gel 2in1 Whitening,$6.50,https://www.igashop.com.au/product/440056,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/440056.jpg",Colgate,Tooth Paste
Colgate Kids Minions Toothpaste 6+ Years Mild Mint,$2.75,https://www.igashop.com.au/product/160000012126,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012126.jpg",Colgate,Tooth Paste
