title,price,productUrl,imageUrl,brand,category
Advil Liquid Capsules,$5.75,https://www.igashop.com.au/product/79350,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/_79350.jpg",Advil,Pain Relief
Advil Tablets,$4.50,https://www.igashop.com.au/product/350578,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/350578.jpg",Advil,Pain Relief
Voltaren Emulgel No Mess,$21.50,https://www.igashop.com.au/product/688361,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/688361.jpg",Voltaren,Pain Relief
Voltaren Muscle And Back Pain Relief Emulgel,$14.00,https://www.igashop.com.au/product/978509,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/978509.jpg",Voltaren,Medicinal Oil and Ointments
Advil Minis Liquid,$6.00,https://www.igashop.com.au/product/170000000215,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000000215.jpg",Advil,Pain Relief
Advil Children 7-12 Years Chewable Raspberry,$11.50,https://www.igashop.com.au/product/611084,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/611084.jpg",Advil,Pain Relief
Advil Liquid 200mg Capsules,$3.50,https://www.igashop.com.au/product/533859,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/533859.jpg",Advil,Pain Relief
Alka-Seltzer Lemon Tablet,$11.60,https://www.igashop.com.au/product/484848,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/484848.jpg",Alka-Seltzer,Antacid and Indigestion
Aspro Clear Pain Relief Soluble Tablets,$8.00,https://www.igashop.com.au/product/374190,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/374190.jpg",Aspro,Pain Relief
Banana Boat After Sun Aloe,$11.00,https://www.igashop.com.au/product/931099,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/931099.jpg",Banana Boat,Medicinal Oil and Ointments
Band-aid Advanced Healing Hydro Seal Gel Plasters Regular,$9.35,https://www.igashop.com.au/product/936934,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/936934.jpg",BAND-AID,Band-aids and Bandages
Band-Aid Aquablock Regular,$6.00,https://www.igashop.com.au/product/967236,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/967236.jpg",BAND-AID,Band-aids and Bandages
Band-Aid Clear Strips,$5.00,https://www.igashop.com.au/product/22557,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/22557.jpg",BAND-AID,Band-aids and Bandages
Band-Aid Fabric Strips,$5.00,https://www.igashop.com.au/product/996117,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/996117.jpg",BAND-AID,Band-aids and Bandages
Band-aid First Aid Non-irritating Paper Tape 2.5cm X 9.1m,$7.50,https://www.igashop.com.au/product/51637,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/51637.jpg",BAND-AID,Band-aids and Bandages
Band-Aid Plaster Shapes,$5.00,https://www.igashop.com.au/product/54261,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/54261.jpg",BAND-AID,Band-aids and Bandages
Band-Aid Plaster Strips Extra Wide,$5.00,https://www.igashop.com.au/product/408143,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/408143.jpg",BAND-AID,Band-aids and Bandages
Band-Aid Plastic Strips,$5.00,https://www.igashop.com.au/product/54334,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/54334.jpg",BAND-AID,Band-aids and Bandages
Band-aid Tough Strips Brand,$5.45,https://www.igashop.com.au/product/72057,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/72057.jpg",BAND-AID,Band-aids and Bandages
Band-Aid Tough Strips Extra Large Fabric Strips,$3.50,https://www.igashop.com.au/product/436405,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/436405.jpg",BAND-AID,Band-aids and Bandages
Band-Aid Tough Strips Regular,$3.50,https://www.igashop.com.au/product/436455,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/436455.jpg",BAND-AID,Band-aids and Bandages
Bepanthen Baby Nappy Rash Ointment,$9.00,https://www.igashop.com.au/product/409225,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/409225.jpg",Bepanthen,Baby Toiletries
Bepanthen Nappy Rash Ointment,$15.50,https://www.igashop.com.au/product/607438,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/607438.jpg",Bepanthen,Antacid and Indigestion
Betadine Anaesthetic Sore Throat Lozenges Berry,$8.95,https://www.igashop.com.au/product/944924,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/944924.jpg",Betadine,"Cold, Flu and Allergies"
Betadine Anaesthetic Sore Throat Lozenges Honey & Lemon,$9.50,https://www.igashop.com.au/product/180000005338,,Betadine,Antiseptic and Anti-Fungal
