title,price,productUrl,imageUrl,brand,category
Aveeno Baby Daily Lotion,$12.50,https://www.igashop.com.au/product/180000003289,,Aveeno,Shampoo and Conditioner
Batiste Blush Dry Shampoo,$14.00,https://www.igashop.com.au/product/407485,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/407485.jpg",Batiste,Shampoo and Conditioner
Batiste Dry Shampoo Beautiful Brunette,$14.00,https://www.igashop.com.au/product/407493,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/407493.jpg",Batiste,Shampoo and Conditioner
Batiste Eden Dry Shampoo,$14.00,https://www.igashop.com.au/product/891341,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/891341.jpg",Batiste,Shampoo and Conditioner
Batiste Tropical Dry Shampoo,$14.00,https://www.igashop.com.au/product/407508,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/407508.jpg",Batiste,Shampoo and Conditioner
Black & Gold Hairspray,$2.75,https://www.igashop.com.au/product/313762,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/313762.jpg",Black & Gold,Hair Styling
Brylcreem  Hair Cream Protein Enriched,$6.25,https://www.igashop.com.au/product/362407,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/362407.jpg",Brylcreem,Hair Treatments
Dove Conditioner Daily Care,$8.50,https://www.igashop.com.au/product/513922,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/513922.jpg",Dove,Shampoo and Conditioner
Dove Conditioner Intensive Repair,$8.50,https://www.igashop.com.au/product/510903,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/510903.jpg",Dove,Shampoo and Conditioner
Dove Conditioner Restoring Ritual,$8.50,https://www.igashop.com.au/product/510911,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/510911.jpg",Dove,Shampoo and Conditioner
Dove Hair Treatment Refresh & Care,$8.85,https://www.igashop.com.au/product/985792,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/985792.jpg",Dove,Shampoo and Conditioner
Dove Men Hair Shampoo Fresh Clean 2 in 1,$5.00,https://www.igashop.com.au/product/395434,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/395434.jpg",Dove,Shampoo and Conditioner
Dove Shampoo Daily Care,$17.00,https://www.igashop.com.au/product/510704,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/510704.jpg",Dove,Shampoo and Conditioner
Dove Shampoo Restoring Ritual,$8.50,https://www.igashop.com.au/product/510733,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/510733.jpg",Dove,Shampoo and Conditioner
Extra Care Curl Flex Creme,$15.20,https://www.igashop.com.au/product/577227,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/577227.jpg",Extra,Hair Styling
GARNIER Fructis Normal Strength & Shine Conditioner,$12.75,https://www.igashop.com.au/product/271428,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/271428.jpg",GARNIER,Shampoo and Conditioner
