title,price,productUrl,imageUrl,brand,category
BIC Comfort 3 Advance Shavers,$4.75,https://www.igashop.com.au/product/10513,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/10513.jpg",BIC,Men's Blades and Razors
BIC Disposable Shaver Sensitive,$6.40,https://www.igashop.com.au/product/21381,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/21381.jpg",BIC,Men's Blades and Razors
BIC Razor Disposable Twin Easy Sensitive,$3.85,https://www.igashop.com.au/product/80458,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80458.jpg",BIC,Men's Blades and Razors
BIC Shaver Flex 3 Mens,$4.90,https://www.igashop.com.au/product/369425,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/369425.jpg",BIC,Men's Blades and Razors
BIC Shaver Hybrid 4 Advance Mens,$7.35,https://www.igashop.com.au/product/362774,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/362774.jpg",BIC,Men's Blades and Razors
Black & Gold Shaving Foam,$3.00,https://www.igashop.com.au/product/51938,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/51938.jpg",Black & Gold,Men's Shave Gels and Foams
Brut 48Hr Endurance Antiperspirant,$4.25,https://www.igashop.com.au/product/620949,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/620949.jpg",Brut,Men's Deodorants
Brut 72 Hour Original Anti Perspirant,$4.75,https://www.igashop.com.au/product/699477,,Brut,Men's Deodorants
Brut Aftershave Boxed,$6.25,https://www.igashop.com.au/product/52934,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/52934.jpg",Brut,Men's Aftershave
Brut Aftershave Splash On,$5.50,https://www.igashop.com.au/product/56784,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/56784.jpg",Brut,Men's Aftershave
Brut Hour Original Anti-Perspirant,$3.75,https://www.igashop.com.au/product/620931,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/620931.jpg",Brut,Men's Deodorants
Brut Original Body Spray,$3.75,https://www.igashop.com.au/product/629032,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/629032.jpg",Brut,Men's Deodorants
Brut Shaving Cream,$2.25,https://www.igashop.com.au/product/344080,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/344080.jpg",Brut,Men's Shave Gels and Foams
Brut Shower Gel Original,$4.25,https://www.igashop.com.au/product/628955,,Brut,Men's Shower Gels
Cussons Imperial Leather After Shave Original,$10.80,https://www.igashop.com.au/product/99504,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/032817_1.jpg",Cussons,Men's Aftershave
Dove Advanced Antiperspirant Aerosol Sport Wallabies,$9.85,https://www.igashop.com.au/product/180000005911,,Dove,Men's Deodorants
Dove Antiperspirant Aerosol Floral,$8.09,https://www.igashop.com.au/product/656445,,Dove,Men's Deodorants
Dove Men Deodorant Aerosol Fig Suede ,$12.00,https://www.igashop.com.au/product/1800000068137,,Dove,Men's Deodorants
Dove Men Deodorant Roll On Clean Comfort ,$5.10,https://www.igashop.com.au/product/180000005880,,Dove,Men's Deodorants
Dove Men Deodorant Roll On Invisible Dry ,$5.10,https://www.igashop.com.au/product/180000005879,,Dove,Men's Deodorants
Dove Men+ Care Advanced Antiperspirant Aerosol Clean Comfort,$9.85,https://www.igashop.com.au/product/663633,,Dove,Men's Deodorants
Dove Men+ Care Advanced Antiperspirant Aerosol Extra Fresh,$9.85,https://www.igashop.com.au/product/658382,,Dove,Men's Deodorants
Dove Men+ Care Advanced Antiperspirant Aerosol Invisible Dry,$9.85,https://www.igashop.com.au/product/666597,,Dove,Men's Deodorants
Dove Men+ Care Antiperspirant Aerosol Classic,$8.00,https://www.igashop.com.au/product/656461,,Dove,Men's Deodorants
Dove Men+ Care Antiperspirant Aerosol Fresh,$8.00,https://www.igashop.com.au/product/666987,,Dove,Men's Deodorants
Dove Men+ Care Antiperspirant Aerosol Stain Defense,$8.00,https://www.igashop.com.au/product/669074,,Dove,Men's Deodorants
Dove Men+Care Antiperspirant Aerosol Deodorant Eucalyptus + Birch Refreshing,$8.50,https://www.igashop.com.au/product/170000003778,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000003778.jpg",Dove,Men's Deodorants
Gillette Blue 3 Disposable Shaving Razor,$10.65,https://www.igashop.com.au/product/21412,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/21412.jpg",Gillette,Men's Blades and Razors
Gillette Blue Ii Disposable Shaving Razor Ultra Grip Pivot,$7.00,https://www.igashop.com.au/product/366634,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/366634.jpg",Gillette,Men's Blades and Razors
Gillette Blue3 Disposable Shaving Razor,$7.00,https://www.igashop.com.au/product/29795,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/29795.jpg",Gillette,Men's Blades and Razors
Gillette Comfort Glide Shave Gel,$7.50,https://www.igashop.com.au/product/160000011026,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000011026.jpg",Gillette,Men's Shave Gels and Foams
Gillette Mach 3 + Cartrage of 8 Blades,$32.00,https://www.igashop.com.au/product/81140,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/81140.jpg",Gillette,Men's Blades and Razors
Gillette Mach 3 Shaving Blade Refill,$23.00,https://www.igashop.com.au/product/903669,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/903669.jpg",Gillette,Men's Blades and Razors
Gillette Mach 3 Shaving Blade Refill,$29.50,https://www.igashop.com.au/product/903716,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/903716.jpg",Gillette,Men's Blades and Razors
Gillette Mach 3 Turbo 3D,$33.00,https://www.igashop.com.au/product/81093,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/81093.jpg",Gillette,Men's Blades and Razors
Gillette ProGlide Power,$47.00,https://www.igashop.com.au/product/904107,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/904107.jpg",Gillette,Men's Blades and Razors
Gillette PURE Shaving Gel for Men,$10.00,https://www.igashop.com.au/product/929348,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/929348.jpg",Gillette,Men's Shave Gels and Foams
Gillette Refreshing Breeze Shave Gel,$7.50,https://www.igashop.com.au/product/160000011025,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000011025.jpg",Gillette,Men's Shave Gels and Foams
Gillette Sensor 3 Comfort Disposable Razors,$14.50,https://www.igashop.com.au/product/902736,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/902736.jpg",Gillette,Men's Blades and Razors
Gillette Sensor 3 Comfort Disposable Razors,$7.50,https://www.igashop.com.au/product/902752,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/902752.jpg",Gillette,Men's Blades and Razors
