title,price,productUrl,imageUrl,brand,category
BIC Disposable Shaver Sensitive,$6.40,https://www.igashop.com.au/product/21381,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/21381.jpg",BIC,Men's Blades and Razors
BIC Sensitive Razor,$3.50,https://www.igashop.com.au/product/327313,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/327313.jpg",BIC,Women's Hair Removal
BIC Shaver Twin Lady,$3.50,https://www.igashop.com.au/product/639582,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/639582.jpg",BIC,Women's Hair Removal
BIC Soleil Twilight Lavender Razor,$4.75,https://www.igashop.com.au/product/316142,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/316142.jpg",BIC,Women's Hair Removal
Carefree Barely There Aloe Panty Liners,$3.85,https://www.igashop.com.au/product/723705,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/723705.jpg",Carefree,Feminine Hygiene
Carefree Barely There Unscented Panty Liners,$3.85,https://www.igashop.com.au/product/821090,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/821090.jpg",Carefree,Feminine Hygiene
Carefree Flat Panty Liners Regular,$4.90,https://www.igashop.com.au/product/91213,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/91213.jpg",Carefree,Feminine Hygiene
Carefree Flexia Super Tampons with Wings,$4.55,https://www.igashop.com.au/product/323385,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/323385.jpg",Carefree,Feminine Hygiene
Carefree Original Tampons Super,$3.50,https://www.igashop.com.au/product/56386,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/56386.jpg",Carefree,Feminine Hygiene
Carefree Original Tampons Super,$5.95,https://www.igashop.com.au/product/56718,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/56718.jpg",Carefree,Feminine Hygiene
Carefree Panty Liner Barely There Scented,$3.85,https://www.igashop.com.au/product/44509,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/44509.jpg",Carefree,Feminine Hygiene
