title,price,productUrl,imageUrl,brand,category
Atkins Endulge Bar Caramel Nut Multipack,$13.95,https://www.igashop.com.au/product/797238,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/797238.jpg",Atkins,Protein Bars
Atkins Endulge Bar Chcocolate & Coconut,$13.95,https://www.igashop.com.au/product/797262,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/797262.jpg",Atkins,Protein Bars
Atkins Endulge Milk Chocolate Malt Bites,$13.95,https://www.igashop.com.au/product/1800000067377,,Atkins,Diet Snacks and Slimming Aids
Atkins Low Carb Crispbread,$3.55,https://www.igashop.com.au/product/679508,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/679508.jpg",Atkins,Diet Snacks and Slimming Aids
Atkins Shake Mix Chocolate,$23.00,https://www.igashop.com.au/product/1800000067375,,Atkins,Diet Snacks and Slimming Aids
Atkins Shake Mix Vanilla,$23.00,https://www.igashop.com.au/product/1800000067376,,Atkins,Diet Snacks and Slimming Aids
BSc Body Science High Protein Bar Choc Mint,$5.55,https://www.igashop.com.au/product/655428,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/655428.jpg",BSc,Protein Bars
BSc Body Science High Protein Bar Cookies & Cream,$4.80,https://www.igashop.com.au/product/646398,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/646398.jpg",BSc,Protein Bars
BSc Body Science High Protein Low Carb Bar Cookie Dough,$4.95,https://www.igashop.com.au/product/160000012076,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012076.jpg",BSc,Protein Bars
BSc High Protein Low Carb Mousse Bar,$4.95,https://www.igashop.com.au/product/180000005007,,BSc,Protein Bars
Community Co Aussie Black Chia Seeds,$6.80,https://www.igashop.com.au/product/799230,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/799230.jpg",Community Co,Supplements and Superfoods
Community Co LSA,$4.40,https://www.igashop.com.au/product/799125,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/799125.jpg",Community Co,Flour
Crankt Protein Bar Chocolate Mud Cake,$4.60,https://www.igashop.com.au/product/20000006956,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006956_1.jpg",Crankt,Protein Bars
Epsom Salts,$3.85,https://www.igashop.com.au/product/361121,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/361121.jpg",Sanofi,Supplements and Superfoods
Fibre One Salted Caramel Muesli Bars,$5.50,https://www.igashop.com.au/product/935522,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/935522.jpg",Fibre One,Cereal Bars & Nutritional Snacks
Hydralyte Effervescent Electrolyte Tablets Apple Blackcurrant,$8.25,https://www.igashop.com.au/product/828521,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/828521.jpg",Hydralyte,Multi-Vitamins
Hydralyte Effervescent Electrolyte Tablets Lemon Lime Flavoured,$8.25,https://www.igashop.com.au/product/223276,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/223276.jpg",Hydralyte,Protein and Sport Performance Powders
Hydralyte Electrolyte Ice Blocks Orange,$14.80,https://www.igashop.com.au/product/190000005347,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000005347.jpg",Hydralyte,Protein and Sport Performance Powders
Hydralyte Electrolyte Powder Apple Blackcurrant Flavoured,$14.85,https://www.igashop.com.au/product/828563,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/828563.jpg",Hydralyte,Multi-Vitamins
Keep It Cleaner Plant Based Protein Powder Vanilla,$25.75,https://www.igashop.com.au/product/180000005192,,Keep It Cleaner,Protein and Sport Performance Powders
Keep It Cleaner WPI Protein Powder Chocolate,$33.00,https://www.igashop.com.au/product/180000005194,,Keep It Cleaner,Protein and Sport Performance Powders
Keep It Cleaner WPI Protein Powder Vanilla,$25.75,https://www.igashop.com.au/product/180000005195,,Keep It Cleaner,Protein and Sport Performance Powders
Max's Muscle Meal Cookies & Cream High Protein Cookie,$4.95,https://www.igashop.com.au/product/160000014305,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000014305.jpg",Max's,Protein Bars
Maxine's Burn Bar Caramel Crunch,$3.55,https://www.igashop.com.au/product/797,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/797.jpg",Maxine's,Protein Bars
Maxine's Burn Bar Choc Mint Fudge,$3.55,https://www.igashop.com.au/product/160000014298,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000014298.jpg",Maxine's,Diet Snacks and Slimming Aids
Maxine's Burn Cookies & Cream High Protein Cookie,$3.55,https://www.igashop.com.au/product/798,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/798.jpg",Maxine's,Protein Bars
Musashi Bulk Mass Gain Protein Blend Vanilla,$33.65,https://www.igashop.com.au/product/376147,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/376147.jpg",Musashi,Protein and Sport Performance Powders
Musashi Bulk Protein Chocolate Milkshake,$33.65,https://www.igashop.com.au/product/376139,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/376139.jpg",Musashi,Protein and Sport Performance Powders
Musashi Bulk Protein Vanilla Milkshake,$33.65,https://www.igashop.com.au/product/160000000702,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000000702.jpg",Musashi,Protein and Sport Performance Powders
Musashi Deluxe Protein Bar Rocky Road,$4.40,https://www.igashop.com.au/product/444453,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/444453.jpg",Musashi,Protein Bars
Musashi High Protein Bar Cookies & Cream,$6.80,https://www.igashop.com.au/product/103748,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/103748.jpg",Musashi,Protein Bars
Musashi High Protein Bar Peanut Butter,$6.80,https://www.igashop.com.au/product/866870,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/866870.jpg",Musashi,Supplements and Superfoods
Musashi High Protein Milk Choc Brownie Bar,$6.80,https://www.igashop.com.au/product/589067,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/589067.jpg",Musashi,Protein Bars
Musashi High Protein Salted Caramel Bar,$6.80,https://www.igashop.com.au/product/676720,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/676720.jpg",Musashi,Protein Bars
Musashi High Protein Shake Creamy Vanilla,$3.85,https://www.igashop.com.au/product/61593,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/61593.jpg",Musashi,Protein and Sport Performance Powders
Musashi Pre Workout Lemon Lime,$45.00,https://www.igashop.com.au/product/160000000726,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000000726.jpg",Musashi,Protein and Sport Performance Powders
Musashi Protein Cookie Choc Chip,$4.80,https://www.igashop.com.au/product/588618,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/588618.jpg",Musashi,Protein Bars
Musashi Protein Crisp Bar Choc Peanut,$4.80,https://www.igashop.com.au/product/160000000754,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000000754.jpg",Musashi,Protein Bars
Musashi Protein Crisp Bar Dark Chocolate Mint,$4.80,https://www.igashop.com.au/product/160000000738,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000000738.jpg",Musashi,Protein and Sport Performance Powders
Musashi Protein Crisp Bar Vanilla Caramel,$4.80,https://www.igashop.com.au/product/160000000748,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000000748.jpg",Musashi,Protein Bars
Musashi Protein Wafer Bar Chocolate,$4.40,https://www.igashop.com.au/product/947087,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/947087.jpg",Musashi,Cereal Bars & Nutritional Snacks
Musashi Protein Wafer Bar Chocolate Mint,$4.40,https://www.igashop.com.au/product/160000000720,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000000720.jpg",Musashi,Protein Bars
Musashi Protein Wafer Bar Vanilla,$4.40,https://www.igashop.com.au/product/950857,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/950857.jpg",Musashi,Protein Bars
Musashi Shred & Burn Protein Shake Chocolate,$3.85,https://www.igashop.com.au/product/665685,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/665685.jpg",Musashi,Protein and Sport Performance Powders
Muscle Nation Casein Protein Powder Vanilla,$31.00,https://www.igashop.com.au/product/150000008086,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000008086.jpg",Muscle Nation,Protein and Sport Performance Powders
Muscle Nation Cheesecake Protein Bar Caramel,$4.60,https://www.igashop.com.au/product/180000005445,,Muscle Nation,Protein Bars
Muscle Nation Cheesecake Protein Bar Lemon,$4.60,https://www.igashop.com.au/product/180000005446,,Muscle Nation,Protein Bars
Muscle Nation Cheesecake Protein Bar Strawberry,$4.60,https://www.igashop.com.au/product/180000005447,,Muscle Nation,Protein Bars
Muscle Nation Custard Birthday Cake Protein Bar,$5.00,https://www.igashop.com.au/product/150000008088,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000008088.jpg",Muscle Nation,Protein Bars
Muscle Nation Custard Casein Protein Powder Cookies & Cream,$31.00,https://www.igashop.com.au/product/150000008087,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000008087.jpg",Muscle Nation,Protein and Sport Performance Powders
Muscle Nation Custard Choc Hazelnut Plant Protein Bar,$5.70,https://www.igashop.com.au/product/150000008085,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000008085.jpg",Muscle Nation,Protein Bars
Muscle Nation Custard Cookies & Cream Protein Bar,$4.60,https://www.igashop.com.au/product/150000008089,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000008089.jpg",Muscle Nation,Protein Bars
Muscle Nation Custard Protein Bar Cookies & Cream,$5.00,https://www.igashop.com.au/product/22976,,Muscle Nation,Protein Bars
Muscle Nation Custard Protein Bar White Choc Raspberry,$5.00,https://www.igashop.com.au/product/150000008084,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000008084.jpg",Muscle Nation,Protein Bars
My Muscle Chef Protein Cookie Choc Chip,$5.95,https://www.igashop.com.au/product/20000003613,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003613.jpg",My Muscle Chef,Protein Bars
My Muscle Chef Protein Oat Slice Apple & Cinnamon,$5.95,https://www.igashop.com.au/product/20000006938,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006938.jpg",My Muscle Chef,Protein Bars
My Muscle Chef Protein Oat Slice Chocolate & Almond,$5.95,https://www.igashop.com.au/product/20000006939,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006939.jpg",My Muscle Chef,Protein Bars
My Muscle Chef Protein Shake Chocolate,$5.95,https://www.igashop.com.au/product/679846,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/679846.jpg",My Muscle Chef,Diet Snacks and Slimming Aids
