title,price,productUrl,imageUrl,brand,category
Benefiber Natural Dietary Fibre,$12.50,https://www.igashop.com.au/product/971557,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/971557.jpg",Benefiber,Detox and Digestion
Berocca Energy Vitamin B & C Orange Flavour Effervescent Tablets,$11.00,https://www.igashop.com.au/product/545474,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/545474.jpg",Berocca,Fatigue and Stress
Berocca Energy Vitamin B & C Orange Flavour Effervescent Tablets,$14.80,https://www.igashop.com.au/product/545704,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/545704.jpg",Berocca,Fatigue and Stress
Berocca Energy Vitamin B & C Orange Flavour Twist N Go Energy Drink,$4.95,https://www.igashop.com.au/product/139553,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/139553.jpg",Berocca,Fatigue and Stress
Berocca Energy Vitamin B & C Original Berry Flavour Effervescent Tablets,$11.00,https://www.igashop.com.au/product/545377,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/545377.jpg",Berocca,Fatigue and Stress
Berocca Energy Vitamin B & C Original Berry Flavour Effervescent Tablets,$14.80,https://www.igashop.com.au/product/545709,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/545709.jpg",Berocca,Fatigue and Stress
Caltrate Bone Health Tablets With Vitamin D,$10.60,https://www.igashop.com.au/product/67756,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/67756.jpg",Caltrate,Bone and Muscle Health
Cenovis Ginkgo Biloba 2000mg Tablets Value Pack,$19.50,https://www.igashop.com.au/product/88969,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/88969.jpg",Cenovis,Brain and Heart Health
Cenovis Magnesium Tablets Value Pack,$28.50,https://www.igashop.com.au/product/389145,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/389145.jpg",Cenovis,Individual Vitamins A-Z
Cenovis Mega C,$14.00,https://www.igashop.com.au/product/693324,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/693324.jpg",Cenovis,Individual Vitamins A-Z
Cenovis Sugarless C 500mg Orange Flavour Tablets,$12.50,https://www.igashop.com.au/product/65652,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/65652.jpg",Cenovis,Individual Vitamins A-Z
Cenovis Vitamin C Sugarless,$17.60,https://www.igashop.com.au/product/691186,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/691186.jpg",Cenovis,Individual Vitamins A-Z
Cenovis Women's Multi capsules,$8.00,https://www.igashop.com.au/product/676678,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/676678.jpg",Cenovis,Multi-Vitamins
Hydralyte Effervescent Electrolyte Tablets Apple Blackcurrant,$8.25,https://www.igashop.com.au/product/828521,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/828521.jpg",Hydralyte,Multi-Vitamins
Hydralyte Electrolyte Powder Apple Blackcurrant Flavoured,$14.85,https://www.igashop.com.au/product/828563,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/828563.jpg",Hydralyte,Multi-Vitamins
Medix Epsom Salts,$6.90,https://www.igashop.com.au/product/841312,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/841312.jpg",Medix,Bone and Muscle Health
Metamucil Daily Fibre Supplement Smooth Orange 48 Doses,$21.90,https://www.igashop.com.au/product/320183,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/320183.jpg",Metamucil,Detox and Digestion
Metamucil Orange Smooth Fibre 72 Doses,$28.00,https://www.igashop.com.au/product/605444,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/605444.jpg",Metamucil,Detox and Digestion
Nature's Way Complete Daily Multivitamin Tablets,$15.10,https://www.igashop.com.au/product/917118,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/917118.jpg",Nature's Way,Multi-Vitamins
Nature's Way Fish Oil 1000mg Caps,$12.00,https://www.igashop.com.au/product/180000004772,,Nature's Way,Fish Oil
Nature's Way Kids Smart Vita Gummies Vitamin C + Zinc,$18.00,https://www.igashop.com.au/product/69318,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/69318.jpg",Nature's Way,Children's Health
Nature's Way Magnesium Tablets,$23.55,https://www.igashop.com.au/product/418753,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/418753.jpg",Nature's Way,Individual Vitamins A-Z
Nature's Way Multivitamin,$15.10,https://www.igashop.com.au/product/160000018235,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000018235.jpg",Nature's Way,Multi-Vitamins
No-doz Plus,$6.85,https://www.igashop.com.au/product/490213,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/490213.jpg",No-Doz,Fatigue and Stress
Ostelin Vitamin D3 1000IU Capsules,$18.50,https://www.igashop.com.au/product/160000001927,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000001927.jpg",Ostelin,Bone and Muscle Health
