title,price,productUrl,imageUrl,brand,category
Abbott's Bakery Country Grains Bread,$5.00,https://www.igashop.com.au/product/442626,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/442626.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Farmhouse Wholemeal Bread,$5.00,https://www.igashop.com.au/product/811082,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/811082.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Gluten Free Farmhouse Wholemeal Bread,$7.90,https://www.igashop.com.au/product/808644,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/808644.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Gluten Free Mixed Seeds Bread,$7.90,https://www.igashop.com.au/product/670101,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/670101.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Gluten Free Rustic White,$7.90,https://www.igashop.com.au/product/443949,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/443949.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Gluten Free Sourdough Grains & Seeds Bread,$8.25,https://www.igashop.com.au/product/170000000047,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000000047.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Gluten Free Soy & Linseed,$7.90,https://www.igashop.com.au/product/670119,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/670119.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Light Rye Bread,$5.00,https://www.igashop.com.au/product/811090,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/811090.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Rustic White Bread,$5.00,https://www.igashop.com.au/product/442595,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/442595.jpg",Abbott's Bakery,Packaged Bread
Abbott's Bakery Sourdough Rye Loaf,$5.30,https://www.igashop.com.au/product/810167,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/810167.jpg",Abbott's Bakery,Packaged Bread
Abe's Bagel Blueberry,$7.70,https://www.igashop.com.au/product/180000000368,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000368.jpg",Abe's,Rolls and Bagels
Abe's Bagel Natural,$7.70,https://www.igashop.com.au/product/180000000352,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000352.jpg",Abe's,Rolls and Bagels
Baked Provision Cake Carrot Slice,$7.55,https://www.igashop.com.au/product/433800,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/433800.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provision Cream & Custard Horn,$7.20,https://www.igashop.com.au/product/251902,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/251902.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provision Donut Jam & Cream,$7.20,https://www.igashop.com.au/product/244549,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/244549.jpg",Baked Provisions,Cookies and Donuts
Baked Provision Log Apple Crumble,$11.35,https://www.igashop.com.au/product/305345,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/305345.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provision Log Carrot Cake,$11.35,https://www.igashop.com.au/product/305510,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/305510.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provisions Apple Pie,$7.20,https://www.igashop.com.au/product/1800000068812,,Baked Provisions,"Pastries, Cakes and Desserts"
Baked Provisions Apple Pie,$7.60,https://www.igashop.com.au/product/20000000566,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000566.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provisions Bacon & Cheese Roll,$7.50,https://www.igashop.com.au/product/20000000581,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000581.jpg",Baked Provisions,Rolls and Bagels
Baked Provisions Beef & Jalapeno Cheese Roll,$7.50,https://www.igashop.com.au/product/180000005025,,Baked Provisions,Rolls
Baked Provisions Beesting Log Cake,$11.35,https://www.igashop.com.au/product/20000000571,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000571.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provisions Caramel Slice,$7.60,https://www.igashop.com.au/product/20000000582,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000582.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provisions Chicken & Curry Pies,$8.20,https://www.igashop.com.au/product/687886,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/687886.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provisions Chocolate Fudge Brownie,$7.20,https://www.igashop.com.au/product/20000000567,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000567.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provisions Chocolate Fudge Brownie ,$7.20,https://www.igashop.com.au/product/1800000068814,,Baked Provisions,"Pastries, Cakes and Desserts"
Baked Provisions Chocolate Mud Slice 240,$7.20,https://www.igashop.com.au/product/20000000584,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000584.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provisions Cream & Custard Horn,$7.20,https://www.igashop.com.au/product/1800000068957,,Baked Provisions,Donuts and Cookies
Baked Provisions Custard Tart,$7.55,https://www.igashop.com.au/product/20000004767,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004767.jpg",Baked Provisions,"Pastries, Cakes and Desserts"
Baked Provisions Custard Tart ,$7.20,https://www.igashop.com.au/product/1800000068815,,Baked Provisions,"Pastries, Cakes and Desserts"
Baked Provisions Donut Chocolate & Cream,$7.20,https://www.igashop.com.au/product/20000000568,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000568.jpg",Baked Provisions,"Cake, Pastries & Desserts"
Baked Provisions Donut Custard Cream,$7.20,https://www.igashop.com.au/product/20000000569,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000569.jpg",Baked Provisions,"Cake, Pastries & Desserts"
