title,price,productUrl,imageUrl,brand,category
Cadbury Drink Chocolate,$5.20,https://www.igashop.com.au/product/235113,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/235113.jpg",Cadbury,Hot Drinks
Cadbury Drinking Chocolate,$7.00,https://www.igashop.com.au/product/160000011328,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000011328.jpg",Cadbury,Hot Drinks
4 Pines Ultra Low Beer Cans,$13.00,https://www.igashop.com.au/product/180000001739,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001739.jpg",4 Pines,Non-Alcoholic
7Up Lemonade Soda,$3.55,https://www.igashop.com.au/product/428622,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/428622.jpg",7Up,Flavoured Soft Drinks
A2 Milk Long Life Full Cream Milk,$3.90,https://www.igashop.com.au/product/574376,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/574376.jpg",A2,Lactose Free Milk
Alani Energy Drink Breezeberry ,$4.60,https://www.igashop.com.au/product/980242,,Alani,Energy Drinks
Alani Energy Drink Cosmic Stardust ,$4.60,https://www.igashop.com.au/product/980255,,Alani,Energy Drinks
Alani Energy Drink Dream Float,$4.60,https://www.igashop.com.au/product/980268,,Alani,Energy Drinks
Alani Energy Drinks Juicy Peach,$4.60,https://www.igashop.com.au/product/180000005645,,Alani,Energy Drinks
Aleo Mate Original,$5.10,https://www.igashop.com.au/product/190000004219,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000004219.jpg",Aloe Mate,Lifestyle Beverages
Allpress Coffee Still Iced Coffee,$5.00,https://www.igashop.com.au/product/180000002836,,Allpress,Iced Coffee
Aloe Mate Aloe Vera Lychee,$2.95,https://www.igashop.com.au/product/20000003193,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003193.jpg",Aloe Mate,Lifestyle Beverages
Aloe Mate Aloe Vera Mango,$2.95,https://www.igashop.com.au/product/20000003315,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003315.jpg",Aloe Mate,Juices
Aqua Pura Fruit Splash Tropical,$2.60,https://www.igashop.com.au/product/722123,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/722123.jpg",Aqua Pura,Flavoured Water
Aqua Pura Fruit Splash Wildberry,$2.60,https://www.igashop.com.au/product/722110,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/722110.jpg",Aqua Pura,Flavoured Water
Aqua Pura Pure Water,$1.95,https://www.igashop.com.au/product/722102,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/722102.jpg",Aqua Pura,Still Water
Ardmona Apricot Nectar Fruit Drink,$2.25,https://www.igashop.com.au/product/863217,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/863217.jpg",Ardmona,Juices
Arkadia Chai Spice,$8.10,https://www.igashop.com.au/product/3497,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/3497.jpg",Arkadia,Hot Drinks
Arkadia Chai Tea Matcha,$7.70,https://www.igashop.com.au/product/160000012719,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012719.jpg",Arkadia,Hot Drinks
Arkadia Chai Vanilla,$7.70,https://www.igashop.com.au/product/3498,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/3498.jpg",Arkadia,Hot Drinks
Arkadia Dirty Chai Espresso,$8.10,https://www.igashop.com.au/product/608099,,Arkadia,Specialty Coffee
Arkadia Drinking Chocolate,$6.70,https://www.igashop.com.au/product/160000012725,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012725.jpg",Arkadia,Hot Drinks
Australia's Own Barista Almond,$4.50,https://www.igashop.com.au/product/31161,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/31161.jpg",Australia's Own,Almond Milk
Australia's Own Barista Oat Milk,$4.50,https://www.igashop.com.au/product/449005,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/449005.jpg",Australia's Own,Oat and Rice Milk
Australia's Own Dairy A2 Full Cream,$2.80,https://www.igashop.com.au/product/31488,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/31488.jpg",Australia's Own,Full Cream Milk
Australia's Own Dairy Standard Full Cream,$2.10,https://www.igashop.com.au/product/31585,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/31585.jpg",Australia's Own,Full Cream Milk
Australia's Own Dairy Standard Skim,$2.10,https://www.igashop.com.au/product/31496,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/31496.jpg",Australia's Own,Skim and Fat Free Milk
Australia's Own Macadamia Barista Milk,$4.50,https://www.igashop.com.au/product/31158,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/31158.jpg",Australia's Own,Almond Milk
Australia's Own Organic Coconut Milk Unsweetened,$3.20,https://www.igashop.com.au/product/31218,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/31218.jpg",Australia's Own,Coconut Milk
Australia's Own Unsweetened Organic Oat Milk,$3.35,https://www.igashop.com.au/product/20000006961,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006961.jpg",Australia's Own,Oat and Rice Milk
Australian Natural Spring Water,$1.60,https://www.igashop.com.au/product/668638,,Australian Natural,Still Water
Ayam Coconut Milk Powder,$5.60,https://www.igashop.com.au/product/25709,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/25709.jpg",Ayam,Coconut Milk
Ayam Premium Coconut Milk,$5.60,https://www.igashop.com.au/product/160000012216,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012216.jpg",Ayam,Asian and Thai
Ayam Pure Coconut Cream,$5.75,https://www.igashop.com.au/product/180000000462,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000462.jpg",Ayam,Dairy Free Cream
Berocca Go Energy Drink Lemon Zinger,$4.60,https://www.igashop.com.au/product/1800000067398,,Berocca,Energy Drinks
Berocca Go Energy Drink Paradise Punch,$4.60,https://www.igashop.com.au/product/1800000067397,,Berocca,Energy Drinks
Berocca Go Energy Drink Watermelon Blast ,$4.60,https://www.igashop.com.au/product/1800000067399,,Berocca,Energy Drinks
Bickford's Blackcurrant Syrup,$6.10,https://www.igashop.com.au/product/352211,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/352211.jpg",Bickford's,Cordials
Bickford's Blueberry Juice Drink,$6.50,https://www.igashop.com.au/product/76056,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/76056.jpg",Bickford's,Juices
Bickford's Cherry Juice,$6.65,https://www.igashop.com.au/product/160000012038,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012038.jpg",Bickford's,Juices
Bickford's Cloudy Apple Cordial,$5.90,https://www.igashop.com.au/product/45385,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/45385.jpg",Bickford's,Cordials
Bickford's Cord Cloudy Pear,$6.65,https://www.igashop.com.au/product/405289,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/405289.jpg",Bickford's,Cordials
Bickford's Cord Peach Tea,$5.60,https://www.igashop.com.au/product/62052,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/62052.jpg",Bickford's,Cordials
Bickford's Cord Raspberry,$5.60,https://www.igashop.com.au/product/321676,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/321676.jpg",Bickford's,Cordials
Bickford's Cordial Orange Lemon & Lime,$5.60,https://www.igashop.com.au/product/675392,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/675392.jpg",Bickford's,Cordials
Bickford's Cordial Pink Grape Fruit,$5.60,https://www.igashop.com.au/product/670672,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/670672.jpg",Bickford's,Cordials
Bickford's Cranberry Juice Drink,$5.60,https://www.igashop.com.au/product/415603,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/415603.jpg",Bickford's,Juices
Bickford's Ginger Beer Cordial,$5.60,https://www.igashop.com.au/product/353453,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/353453.jpg",Bickford's,Cordials
Bickford's Grape Juice,$6.65,https://www.igashop.com.au/product/890162,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/890162.jpg",Bickford's,Juices
Bickford's Iced Coffee Syrup,$7.00,https://www.igashop.com.au/product/42413,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/42413.jpg",Bickford's,Iced Coffee
Bickford's Juice Pomegranate,$6.65,https://www.igashop.com.au/product/806456,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/806456.jpg",Bickford's,Juices
Bickford's Lemon & Lime Bitters Cordial,$5.60,https://www.igashop.com.au/product/354718,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/354718.jpg",Bickford's,Cordials
Bickford's Lemon Barley Cordial,$5.60,https://www.igashop.com.au/product/497469,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/497469.jpg",Bickford's,Cordials
Bickford's Lemon Cordial,$5.60,https://www.igashop.com.au/product/635342,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/635342.jpg",Bickford's,Cordials
Bickford's Lime Cordial,$5.60,https://www.igashop.com.au/product/359598,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/359598.jpg",Bickford's,Cordials
Bickford's Mango & Coconut Cordial,$5.60,https://www.igashop.com.au/product/1800000068363,,Bickford's,Cordials
Bickford's Prune Juice,$6.50,https://www.igashop.com.au/product/352318,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/352318.jpg",Bickford's,Juices
