title,price,productUrl,imageUrl,brand,category
Altimate Extra Thick Ice Cream Wafers,$4.80,https://www.igashop.com.au/product/20000004747,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004747.jpg",Altimate,Multipacks
Annabel Karmel Butter Chicken & Rice,$4.45,https://www.igashop.com.au/product/749803,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/749803.jpg",Annabel Karmel,Frozen Meals
Annabel Karmel Macaroni & Cheese,$4.45,https://www.igashop.com.au/product/749780,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/749780.jpg",Annabel Karmel,Frozen Meals
Annabel Karmel Pasta Bake Bolognese,$4.45,https://www.igashop.com.au/product/431502,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/431502.jpg",Annabel Karmel,Frozen Meals
Antoniou Spinach Cheese 4s,$7.30,https://www.igashop.com.au/product/20000004553,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004553.jpg",Antoniou,Pies and Sausage Rolls
Aunt Betty's Sticky Date Steamy Puds,$4.50,https://www.igashop.com.au/product/794167,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/794167.jpg",Aunt Betty's,"Pies, Pastries and Puddings"
Baked Provisions Bacon & Cheese Roll,$7.00,https://www.igashop.com.au/product/1800000068802,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068802.jpg",Baked Provisions,Pies and Sausage Rolls
Baked Provisions Beef & Jalapeno Sausage Roll,$7.00,https://www.igashop.com.au/product/1800000068805,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068805.jpg",Baked Provisions,Pies and Sausage Rolls
Baked Provisions Chicken & Vegetable Pie,$8.00,https://www.igashop.com.au/product/1800000068799,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068799.jpg",Baked Provisions,Pies and Sausage Rolls
Baked Provisions Chicken Curry Pie ,$8.00,https://www.igashop.com.au/product/1800000068798,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068798.jpg",Baked Provisions,Pies and Sausage Rolls
Baked Provisions Ham & Cheese Quiche ,$8.00,https://www.igashop.com.au/product/1800000068816,,Baked Provisions,Pastries and Quiches
Baked Provisions Homestyle Sausage Roll,$7.00,https://www.igashop.com.au/product/1800000068800,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068800.jpg",Baked Provisions,Pies and Sausage Rolls
Baked Provisions Meat & Vegetable Pastie,$8.00,https://www.igashop.com.au/product/1800000068818,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068818.jpg",Baked Provisions,Pastries and Quiches
