title,price,productUrl,imageUrl,brand,category
3-In-One Degreaser,$8.15,https://www.igashop.com.au/product/722165,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/722165.jpg",3-In-One,Car Care
3-In-One Silicone Spray,$12.40,https://www.igashop.com.au/product/291834,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/291834.jpg",3-In-One,Car Care
3M Command Picture Hanging Strips Medium White,$8.40,https://www.igashop.com.au/product/344519,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/344519.jpg",3M,Home Improvement and Repair
3M Command Wire Backed Picture Hanger White,$6.45,https://www.igashop.com.au/product/200749,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/200749.jpg",3M,Home Improvement and Repair
3M Scotchgard Fabric Protector Aerosol Can,$13.15,https://www.igashop.com.au/product/425747,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/425747.jpg",3M,"Fabric, Metal and Furniture Care"
Active Expert Laundry Liquid,$6.00,https://www.igashop.com.au/product/329182,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/329182.jpg",Active Expert,Laundry Liquid
Active Expert Laundry Powder,$6.00,https://www.igashop.com.au/product/190000011601,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000011601.jpg",Active Expert,Laundry Powder
Aerogard Aero 40% Deet,$17.85,https://www.igashop.com.au/product/421866,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/421866.jpg",Aerogard,Insect Repellants
Aerogard Fabric Insect Repellent Odourless,$15.30,https://www.igashop.com.au/product/740249,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/740249.jpg",Aerogard,Insect Repellants
Aerogard Home Mosquito Control Plug In Prime,$20.00,https://www.igashop.com.au/product/705359,,Aerogard,Insect Repellants
Aerogard Home Mosquito Control Plug In Refill,$17.50,https://www.igashop.com.au/product/715561,,Aerogard,Insect Repellants
Aerogard Insect Repellent Lotion Roll On Tropical,$9.20,https://www.igashop.com.au/product/66585,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/66585.jpg",Aerogard,Insect Repellants
Aerogard Insect Repellent Tropical,$12.25,https://www.igashop.com.au/product/65440,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/65440.jpg",Aerogard,Insect Repellants
Aerogard Insect Repellent Tropical Strength 20% Free,$13.50,https://www.igashop.com.au/product/12298,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/12298.jpg",Aerogard,Insect Repellants
Aerogard Kids Insect Repellent Spray,$12.25,https://www.igashop.com.au/product/910535,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/910535.jpg",Aerogard,Insect Repellants
Aerogard Naturals Repellents Roll On,$12.25,https://www.igashop.com.au/product/347460,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/347460.jpg",Aerogard,Insect Repellants
Aerogard Naturals Repellents Spray,$15.30,https://www.igashop.com.au/product/360913,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/360913.jpg",Aerogard,Insect Repellants
Aerogard Odorless Spray,$12.25,https://www.igashop.com.au/product/356930,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/356930.jpg",Aerogard,Insect Repellants
Aerogard Tropical Pump,$10.45,https://www.igashop.com.au/product/45589,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/45589.jpg",Aerogard,Insect Repellants
Air Wick Air Freshener Aerosol Frangipani,$3.55,https://www.igashop.com.au/product/318864,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/318864.jpg",Air Wick,Air Fresheners
Air Wick Air Freshener Aerosol Lavender,$3.55,https://www.igashop.com.au/product/318848,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/318848.jpg",Air Wick,Air Fresheners
Air Wick Air Freshener Plug In Diffuser Le Vanilla & Himalayan Magnolia,$14.00,https://www.igashop.com.au/product/1800000067351,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067351.jpg",Air Wick,Air Fresheners
Air Wick Air Freshener Refill Vanilla & Himalayan Magnoli,$14.00,https://www.igashop.com.au/product/1800000067352,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067352.jpg",Air Wick,Air Fresheners
Air Wick Air Freshener Spray Sparkling Citrus,$3.55,https://www.igashop.com.au/product/318872,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/318872.jpg",Air Wick,Air Fresheners
Air Wick Air Freshener Spray Vanilla,$3.55,https://www.igashop.com.au/product/318851,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/318851.jpg",Air Wick,Air Fresheners
Air Wick Automatic Spray Essential Oil Air Freshener Refill Linen & White Orchid,$15.30,https://www.igashop.com.au/product/1800000067360,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067360.jpg",Air Wick,Air Fresheners
Air Wick Automatic Spray Essential Oil Air Freshener Refill Sweet Vanilla & Shea Butter,$15.30,https://www.igashop.com.au/product/1800000067361,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067361.jpg",Air Wick,Air Fresheners
Air Wick Automatic Spray Essential Oil Air Freshener Starter Kit Sweet Vanilla & Shea Butter,$26.50,https://www.igashop.com.au/product/1800000067359,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067359.jpg",Air Wick,Air Fresheners
Air Wick Botanica Candle Caribbean Vetiver & Sandalwood,$10.00,https://www.igashop.com.au/product/170177,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170177.jpg",Air Wick,Air Fresheners
Air Wick Botanica French Lavender,$6.30,https://www.igashop.com.au/product/750749,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/750749.jpg",Air Wick,Air Fresheners
Air Wick Botanica Island Rose & African Geranium Room Spray,$6.30,https://www.igashop.com.au/product/750723,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/750723.jpg",Air Wick,Air Fresheners
