title,price,productUrl,imageUrl,brand,category
180 Degrees Walnut Oat Crackers,$6.10,https://www.igashop.com.au/product/160000014352,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000014352.jpg",180 Degrees,Crisps and Crackers
5Gum Tropical Stick,$2.55,https://www.igashop.com.au/product/742453,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/742453.jpg",5Gum,"Gums, Mints and Medicated"
ABC Extra Hot Chilli Sauce,$3.65,https://www.igashop.com.au/product/274552,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/274552.jpg",ABC,Asian and Thai
ABC Sweet Soy Sauce,$6.55,https://www.igashop.com.au/product/482846,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/482846.jpg",ABC,Asian and Thai
Admiral Lychees In Syrup,$5.50,https://www.igashop.com.au/product/25589,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/25589.jpg",Admiral,Canned Fruit
Admiral Mandarin Segments,$2.30,https://www.igashop.com.au/product/441646,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/441646.jpg",Admiral,Canned Fruit
Admiral Mangoes in Syrup,$3.05,https://www.igashop.com.au/product/24957,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/24957.jpg",Admiral,Canned Fruit
Admiral Stoneless Black Cherries In Syrup,$5.00,https://www.igashop.com.au/product/966874,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/966874.jpg",Admiral,Canned Fruit
Aeroplane Jelly Berry Blue,$1.70,https://www.igashop.com.au/product/180000000142,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000142.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Dessert Mix Vanilla,$2.30,https://www.igashop.com.au/product/180000000158,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000158.jpg",Aeroplane Jelly,Puddings
Aeroplane Jelly Lite Lime,$3.00,https://www.igashop.com.au/product/180000000166,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000166.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Lite Mango Passionfruit,$3.00,https://www.igashop.com.au/product/180000000165,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000165.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Lite Orange Mango,$3.00,https://www.igashop.com.au/product/180000000159,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000159.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Lite Pineapple,$3.00,https://www.igashop.com.au/product/180000000160,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000160.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Lite Port Wine,$3.00,https://www.igashop.com.au/product/180000000161,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000161.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Lite Raspberry,$3.00,https://www.igashop.com.au/product/180000000162,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000162.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Lite Strawberry,$3.00,https://www.igashop.com.au/product/180000000163,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000163.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Lite Vanilla Berry,$3.00,https://www.igashop.com.au/product/180000000167,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000167.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Original Lemon,$1.70,https://www.igashop.com.au/product/180000000144,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000144.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Original Lime,$1.70,https://www.igashop.com.au/product/180000000137,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000137.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Original Mango,$1.70,https://www.igashop.com.au/product/180000000145,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000145.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Original Orange,$1.70,https://www.igashop.com.au/product/180000000146,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000146.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Original Port Wine,$1.70,https://www.igashop.com.au/product/180000000147,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000147.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Original Raspberry,$1.70,https://www.igashop.com.au/product/180000000148,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000148.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Original Strawberry,$1.70,https://www.igashop.com.au/product/180000000149,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000149.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Pineapple Jelly Crystals,$1.70,https://www.igashop.com.au/product/180000000143,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000143.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Purple Grape,$1.70,https://www.igashop.com.au/product/180000000141,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000141.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Raspberry,$1.50,https://www.igashop.com.au/product/416154,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/416154.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Reduced Sugar Lime,$1.70,https://www.igashop.com.au/product/180000000153,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000153.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Reduced Sugar Strawberry,$1.70,https://www.igashop.com.au/product/16000001497,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/16000001497.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Strawberry,$1.50,https://www.igashop.com.au/product/416162,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/416162.jpg",Aeroplane Jelly,Jelly
Aeroplane Jelly Watermelon Jelly Crystals,$1.70,https://www.igashop.com.au/product/160000018162,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000018162.jpg",Aeroplane Jelly,Jelly
Aeroplane Lite Creamy Mousse Mix Chocolate Flavour,$3.00,https://www.igashop.com.au/product/180000000131,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000131.jpg",Aeroplane Jelly,Puddings
Aeroplane Ready To Eat Jelly Blackcurrant,$1.50,https://www.igashop.com.au/product/180000000134,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000134.jpg",Aeroplane Jelly,Jelly
Aeroplane Ready To Eat Jelly Pineapple,$1.50,https://www.igashop.com.au/product/180000000133,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000133.jpg",Aeroplane Jelly,Jelly
Aeroplane Ready To Eat Jelly Raspberry,$1.50,https://www.igashop.com.au/product/180000000132,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000132.jpg",Aeroplane Jelly,Jelly
Aeroplane Ready To Eat Jelly Strawberry,$1.50,https://www.igashop.com.au/product/180000000136,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000136.jpg",Aeroplane Jelly,Jelly
Ajitas Vege Chips Barbeque,$5.00,https://www.igashop.com.au/product/492914,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/492914.jpg",Ajitas,Crisps and Crackers
Ajitas Vege Chips Deli Crisps Original,$6.65,https://www.igashop.com.au/product/954770,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/954770.jpg",Ajitas,Crisps and Crackers
Ajitas Vege Chips Deli Crisps Turmeric & Cheese,$6.65,https://www.igashop.com.au/product/718069,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/718069.jpg",Ajitas,Crisps and Crackers
Ajitas Vege Chips Natural,$5.00,https://www.igashop.com.au/product/492906,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/492906.jpg",Ajitas,Crisps and Crackers
Ajitas Vege Chips Rice Crackers Cheese,$5.00,https://www.igashop.com.au/product/190000004838,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000004838.jpg",Ajitas,Corn Chips and Salsa
Ajitas Vege Chips Sea Salt & Vinegar,$5.00,https://www.igashop.com.au/product/360175,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/360175.jpg",Ajitas,Crisps and Crackers
Ajitas Vege Deli Crisps Purple Sweet Potato,$6.65,https://www.igashop.com.au/product/936625,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/936625.jpg",Ajitas,Crisps and Crackers
Ajitas Vege Mini Rice Crackers Multipack,$9.25,https://www.igashop.com.au/product/527078,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/527078.jpg",Ajitas,Crisps and Crackers
Ajitas Vege Rice Sour Cream & Chives,$5.00,https://www.igashop.com.au/product/225252,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/225252.jpg",Ajitas,Potato Chips
