title,price,productUrl,imageUrl,brand,category
Applaws Cat Tin Tuna Fillet in Broth Cat food,$1.95,https://www.igashop.com.au/product/170000000341,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000000341.jpg",Applaws,Trays and Can Cat Food
Applaws Chicken Breast in Broth Cat Food,$1.95,https://www.igashop.com.au/product/160000011091,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000011091.jpg",Applaws,Trays and Can Cat Food
Applaws Natural Wet Cat Tin Multipack Cuisine Selection,$16.00,https://www.igashop.com.au/product/218802,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/218802.jpg",Applaws,Trays and Can Cat Food
Back 2 Nature Small Animal Bedding & Litter,$17.00,https://www.igashop.com.au/product/799285,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/799285.jpg",Back 2 Nature,"Cat Accessories, Treats and Healthcare"
Bird Munchies Gourmet Parrot Seed,$5.80,https://www.igashop.com.au/product/685779,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/685779.jpg",Bird Munchies,Small Animal Food
Bird Munchies Sunflower Bell,$6.60,https://www.igashop.com.au/product/645004,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/645004.jpg",Bird Munchies,Small Animal Food
Black & Gold Beef Dog Food,$2.89,https://www.igashop.com.au/product/62735,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/62735.jpg",Black & Gold,Trays and Can Dog Food
Black & Gold Budgie & Canary Mix,$5.70,https://www.igashop.com.au/product/20000003974,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003974.jpg",Black & Gold,Small Animal Food
Black & Gold Cat Chicken Mince,$1.60,https://www.igashop.com.au/product/649273,,Black & Gold,Chilled Cat Food
Black & Gold Cat Food Sardines,$1.39,https://www.igashop.com.au/product/72853,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/72853.jpg",Black & Gold,Trays and Can Cat Food
Black & Gold Cat Food Seafood Platter,$1.39,https://www.igashop.com.au/product/430310,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/430310.jpg",Black & Gold,Trays and Can Cat Food
Black & Gold Cat Litter,$7.20,https://www.igashop.com.au/product/346359,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/346359.jpg",Black & Gold,Cat Litter
Black & Gold Dog Food Beef & Veg,$17.99,https://www.igashop.com.au/product/44423,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/44423.jpg",Black & Gold,Dry Dog Food
Black & Gold Guinea Pig & Rabbit Mix,$9.75,https://www.igashop.com.au/product/346715,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/346715.jpg",Black & Gold,Small Animal Food
Black & Gold Meat With Chicken Dog Food,$2.89,https://www.igashop.com.au/product/99091,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/99091.jpg",Black & Gold,Trays and Can Dog Food
Black & Gold Meat with Chicken Dogfood,$2.29,https://www.igashop.com.au/product/20000001443,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001443.jpg",Black & Gold,Trays and Can Dog Food
Black & Gold Parrot and Wild Bird Mix,$5.70,https://www.igashop.com.au/product/20000002557,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000002557.jpg",Black & Gold,Small Animal Food
Black & Gold Parrot Mix,$5.70,https://www.igashop.com.au/product/365057,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/365057.jpg",Black & Gold,Small Animal Food
Black & Gold Sunflower Bird Seed,$6.00,https://www.igashop.com.au/product/20000003213,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003213.jpg",Black & Gold,Small Animal Food
Black & Gold Wet Dog Food Meat With Beef,$2.29,https://www.igashop.com.au/product/20000004755,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004755.jpg",Black & Gold,Trays and Can Dog Food
Black & Gold Wild Bird Mix,$11.50,https://www.igashop.com.au/product/409856,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/409856.jpg",Black & Gold,Small Animal Food
Bob Martin Dog Tick & Flea Shampoo,$13.60,https://www.igashop.com.au/product/711046,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/711046.jpg",Bob Martin,"Dog Treats, Accessories and Healthcare"
Bob Martin No Rinse Shampoo,$9.35,https://www.igashop.com.au/product/710707,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/710707.jpg",Bob Martin,"Dog Treats, Accessories and Healthcare"
Bow Wow Beef & Chicken Rolls,$13.35,https://www.igashop.com.au/product/8787,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8787.jpg",Bow Wow,"Dog Treats, Accessories and Healthcare"
Bow Wow Beef & Roo Rolls,$12.00,https://www.igashop.com.au/product/150000007942,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000007942.jpg",Bow Wow,"Dog Treats, Accessories and Healthcare"
Bow Wow Pigs Ears,$15.00,https://www.igashop.com.au/product/83257,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/83257.jpg",Bow Wow,"Dog Treats, Accessories and Healthcare"
Bow Wow Pigs Ears Treats,$4.60,https://www.igashop.com.au/product/636144,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/636144.jpg",Bow Wow,"Dog Treats, Accessories and Healthcare"
Bow Wow Treat Beef Roo Roll,$3.80,https://www.igashop.com.au/product/8890,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8890.jpg",Bow Wow,"Dog Treats, Accessories and Healthcare"
Breeder's Choice Cat Litter,$30.00,https://www.igashop.com.au/product/382397,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/382397.jpg",Breeder's Choice,Cat Litter
Breeder's Choice Cat Litter,$21.50,https://www.igashop.com.au/product/891142,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/891142.jpg",Breeder's Choice,Cat Litter
Breeder's Choice Paper Cat Litter,$6.50,https://www.igashop.com.au/product/416439,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/416439.jpg",Breeder's Choice,Cat Litter
Cat Litter Pellet,$11.00,https://www.igashop.com.au/product/180000003518,,Branded,Cat Litter
Catsan Cat Litter Ultra,$18.50,https://www.igashop.com.au/product/458944,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/458944.jpg",CATSAN,Cat Litter
Catsan Cat Litter Ultra,$13.00,https://www.igashop.com.au/product/50241,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/50241.jpg",CATSAN,Cat Litter
Chandler Cat Litter Original,$8.50,https://www.igashop.com.au/product/942134,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/942134.jpg",Chandler,Cat Litter
Chandler Soft Cat Litter,$10.15,https://www.igashop.com.au/product/942341,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/942341.jpg",Chandler,Cat Litter
Chum Adult Dog Food Beef & Kidney,$3.60,https://www.igashop.com.au/product/74596,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/74596.jpg",Chum,Trays and Can Dog Food
Chum Adult Dog Food Lamb,$3.60,https://www.igashop.com.au/product/41632,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/41632.jpg",Chum,Trays and Can Dog Food
Chum Crunchy Beef Bone & Vegetable,$13.80,https://www.igashop.com.au/product/610203,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/610203.jpg",Chum,Dry Dog Food
Chum Crunchy Beef Bone & Vegetable,$22.50,https://www.igashop.com.au/product/610326,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/610326.jpg",Chum,Dry Dog Food
Chum Crunchy Chicken Beef & Vegetable,$13.80,https://www.igashop.com.au/product/610245,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/610245.jpg",Chum,Dry Dog Food
Chum Crunchy Chicken Beef & Vegetable,$22.50,https://www.igashop.com.au/product/610342,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/610342.jpg",Chum,Dry Dog Food
Chum with Chicken,$3.60,https://www.igashop.com.au/product/75801,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/75801.jpg",Chum,Trays and Can Dog Food
Chum with Three Kinds of Meat,$3.60,https://www.igashop.com.au/product/373877,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/373877.jpg",Chum,Trays and Can Dog Food
Churu Stew Chicken And Tuna,$2.00,https://www.igashop.com.au/product/180000006205,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006205.jpg",Inaba,Trays and Can Cat Food
Dine Classic Collection In Gravy & In Jelly Mixed Selection,$16.00,https://www.igashop.com.au/product/534588,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/534588.jpg",Dine,Trays and Can Cat Food
Dine Classic Collection In Gravy Succulent Selection,$16.00,https://www.igashop.com.au/product/534481,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/534481.jpg",Dine,Trays and Can Cat Food
Dine Classic Collection In Jelly Fish Selection,$16.00,https://www.igashop.com.au/product/534444,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/534444.jpg",Dine,Trays and Can Cat Food
Dine Creamy Treats Chicken Flavour Cat Treat,$4.00,https://www.igashop.com.au/product/658997,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/658997.jpg",Dine,"Cat Accessories, Treats and Healthcare"
Dine Creamy Treats Chicken Selection,$4.00,https://www.igashop.com.au/product/974775,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/974775.jpg",Dine,"Cat Accessories, Treats and Healthcare"
Dine Creamy Treats Mixed Seafood Flavour,$4.00,https://www.igashop.com.au/product/170000003539,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000003539.jpg",Dine,Trays and Can Cat Food
Dine Creamy Treats Prawn & Tuna,$4.00,https://www.igashop.com.au/product/352978,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/352978.jpg",Dine,Trays and Can Cat Food
Dine Creamy Treats Seafood Selection,$4.00,https://www.igashop.com.au/product/974856,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/974856.jpg",Dine,"Cat Accessories, Treats and Healthcare"
Dine Creamy Treats Tuna & Salmon Flavour Cat Treat,$4.00,https://www.igashop.com.au/product/658955,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/658955.jpg",Dine,"Cat Accessories, Treats and Healthcare"
