title,price,brand,category,producturl,imageurl
Tip Top Gourmet Burger Buns BBQ Bread Rolls Bakery 4 pack,$4.50,Tip Top,Bakery,https://www.woolworths.com.au/shop/productdetails/218853/tip-top-gourmet-burger-buns-bbq-bread-rolls-bakery,https://cdn1.woolworths.media/content/wowproductimages/large/218853.jpg
Mr Kipling Cake Angel Slices Snack Pack 6 pack,$6.00,Mr Kipling,Bakery,https://www.woolworths.com.au/shop/productdetails/846809/mr-kipling-cake-angel-slices-snack-pack,https://cdn1.woolworths.media/content/wowproductimages/large/846809.jpg
Mr Kipling Choc Slice 6 pack,$6.00,Mr Kipling,Bakery,https://www.woolworths.com.au/shop/productdetails/814598/mr-kipling-choc-slice,https://cdn1.woolworths.media/content/wowproductimages/large/814598.jpg
Cadbury Mini Rolls Chocolate 5 pack,$3.90,Cadbury,Bakery,https://www.woolworths.com.au/shop/productdetails/453156/cadbury-mini-rolls-chocolate,https://cdn1.woolworths.media/content/wowproductimages/large/453156.jpg
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.50,Wonder,Bakery,https://www.woolworths.com.au/shop/productdetails/263669/wonder-white-bread-vitamins-minerals-sandwich,https://cdn1.woolworths.media/content/wowproductimages/large/263669.jpg
Woolworths White Wrap 8 pack,$2.20,Woolworths,Bakery,https://www.woolworths.com.au/shop/productdetails/634918/woolworths-white-wrap,https://cdn1.woolworths.media/content/wowproductimages/large/634918.jpg
Woolworths White Soft Sandwich Bread 650g,$2.70,Woolworths,Bakery,https://www.woolworths.com.au/shop/productdetails/581172/woolworths-white-soft-sandwich-bread,https://cdn1.woolworths.media/content/wowproductimages/large/581172.jpg
Woolworths Wholemeal Soft Sandwich Bread 650g,$2.70,Woolworths,Bakery,https://www.woolworths.com.au/shop/productdetails/581176/woolworths-wholemeal-soft-sandwich-bread,https://cdn1.woolworths.media/content/wowproductimages/large/581176.jpg
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,$4.50,Tip Top,Bakery,https://www.woolworths.com.au/shop/productdetails/713816/tip-top-the-one-white-sandwich-slice-bread-loaf-bakery,https://cdn1.woolworths.media/content/wowproductimages/large/713816.jpg
Golden Crumpets Round 6 pack,$4.60,Golden,Bakery,https://www.woolworths.com.au/shop/productdetails/49622/golden-crumpets-round,https://cdn1.woolworths.media/content/wowproductimages/large/049622.jpg
Mr Kipling Lemon Slice 6 pack,$6.00,Mr Kipling,Bakery,https://www.woolworths.com.au/shop/productdetails/607942/mr-kipling-lemon-slice,https://cdn1.woolworths.media/content/wowproductimages/large/607942.jpg
Cadbury Chocolate Cake Bars 5 pack,$3.90,Cadbury,Bakery,https://www.woolworths.com.au/shop/productdetails/633063/cadbury-chocolate-cake-bars,https://cdn1.woolworths.media/content/wowproductimages/large/633063.jpg
Tip Top Cafe Thick Cut Raisin Toast Loaf 600g,$5.50,Tip Top,Bakery,https://www.woolworths.com.au/shop/productdetails/6033012/tip-top-cafe-thick-cut-raisin-toast-loaf,https://cdn1.woolworths.media/content/wowproductimages/large/6033012.jpg
Cadbury Raspberry Mini Rolls Mini Rolls 5 pack,$3.90,Cadbury,Bakery,https://www.woolworths.com.au/shop/productdetails/855750/cadbury-raspberry-mini-rolls-mini-rolls,https://cdn1.woolworths.media/content/wowproductimages/large/855750.jpg
Woolworths English Muffins 6 pack,$3.00,Woolworths,Bakery,https://www.woolworths.com.au/shop/productdetails/224737/woolworths-english-muffins,https://cdn1.woolworths.media/content/wowproductimages/large/224737.jpg
Woolworths White Sandwich Bread Loaf 650g,$2.40,Woolworths,Bakery,https://www.woolworths.com.au/shop/productdetails/277728/woolworths-white-sandwich-bread-loaf,https://cdn1.woolworths.media/content/wowproductimages/large/277728.jpg
Woolworths Stonebaked Turkish Rolls 4 pack,$2.60,Woolworths,Bakery,https://www.woolworths.com.au/shop/productdetails/85969/woolworths-stonebaked-turkish-rolls,https://cdn1.woolworths.media/content/wowproductimages/large/085969.jpg
Mission Wraps Original 8 pack,$4.50,Mission,Bakery,https://www.woolworths.com.au/shop/productdetails/320194/mission-wraps-original,https://cdn1.woolworths.media/content/wowproductimages/large/320194.jpg
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.50,Wonder,Bakery,https://www.woolworths.com.au/shop/productdetails/253937/wonder-white-wholemeal-with-iron-sandwich-slice,https://cdn1.woolworths.media/content/wowproductimages/large/253937.jpg
