title,price,brand,category,producturl,imageurl
Nuffin Fetta & Cracked Pepper Dip 200g,$5.00,Nuffin,Deli,https://www.woolworths.com.au/shop/productdetails/208001/nuffin-fetta-cracked-pepper-dip,https://cdn1.woolworths.media/content/wowproductimages/large/208001.jpg
Nuffin Chive & Onion Dip 200g,$5.00,Nuffin,Deli,https://www.woolworths.com.au/shop/productdetails/208804/nuffin-chive-onion-dip,https://cdn1.woolworths.media/content/wowproductimages/large/208804.jpg
Nuffin Capsicum & Onion Dip 200g,$5.00,Nuffin,Deli,https://www.woolworths.com.au/shop/productdetails/239678/nuffin-capsicum-onion-dip,https://cdn1.woolworths.media/content/wowproductimages/large/239678.jpg
Nuffin Hommus Dip 200g,$5.00,Nuffin,Deli,https://www.woolworths.com.au/shop/productdetails/208397/nuffin-hommus-dip,https://cdn1.woolworths.media/content/wowproductimages/large/208397.jpg
D'Orsogna Champagne Leg Ham Shaved From The Deli,$23.50,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/129693/d-orsogna-champagne-leg-ham-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/129693.jpg
D'Orsogna Plain Streaky Bacon From The Deli,$23.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/746376/d-orsogna-plain-streaky-bacon-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/746376.jpg
D'Orsogna Ham Leg Triple Smoked 97% Fat Free Shaved,$23.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/175734/d-orsogna-ham-leg-triple-smoked-97-fat-free-shaved,https://cdn1.woolworths.media/content/wowproductimages/large/175734.jpg
D'Orsogna Honey Ham Shaved From The Deli,$26.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/103449/d-orsogna-honey-ham-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/103449.jpg
D'Orsogna Shortcut Bacon,$21.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/71841/d-orsogna-shortcut-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/071841.jpg
Hans Middle Bacon Rashers From the Deli,$16.00,Hans,Deli,https://www.woolworths.com.au/shop/productdetails/714680/hans-middle-bacon-rashers-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/714680.jpg
SSS Foods White Bean Garlic & Basil Dip 200g,$4.30,SSS Foods,Deli,https://www.woolworths.com.au/shop/productdetails/943264/sss-foods-white-bean-garlic-basil-dip,https://cdn1.woolworths.media/content/wowproductimages/large/943264.jpg
Moira Mac's Oven Roasted Chicken Breast Shredded From The Deli,$29.50,Moira Mac's,Deli,https://www.woolworths.com.au/shop/productdetails/785788/moira-mac-s-oven-roasted-chicken-breast-shredded-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/785788.jpg
Woolworths Shortcut Bacon 1kg,$11.50,Woolworths,Deli,https://www.woolworths.com.au/shop/productdetails/55375/woolworths-shortcut-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/055375.jpg
D'Orsogna Premium Ham Off The Bone Shaved From The Deli,$35.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/937258/d-orsogna-premium-ham-off-the-bone-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/937258.jpg
Ingham's Oven Roasted Turkey Breast Shaved From The Deli,$29.00,Ingham's,Deli,https://www.woolworths.com.au/shop/productdetails/27316/ingham-s-oven-roasted-turkey-breast-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/027316.jpg
Primo Champagne Ham Sliced 100g,$3.95,Primo,Deli,https://www.woolworths.com.au/shop/productdetails/544761/primo-champagne-ham-sliced-thinly-sliced,https://cdn1.woolworths.media/content/wowproductimages/large/544761.jpg
KRC Hungarian Salami Mild Shaved From The Deli,$36.00,KRC,Deli,https://www.woolworths.com.au/shop/productdetails/777945/krc-hungarian-salami-mild-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/777945.jpg
Don Cocktail Frankfurts From The Deli,$9.50,Don,Deli,https://www.woolworths.com.au/shop/productdetails/741794/don-cocktail-frankfurts-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/741794.jpg
D'Orsogna Chorizo From The Deli,$13.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/199215/d-orsogna-chorizo-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/199215.jpg
D'Orsogna Champagne Leg Ham Sliced From The Deli,$23.50,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/127959/d-orsogna-champagne-leg-ham-sliced-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/127959.jpg
D'Orsogna Tasty Sticks Mild From The Deli,$30.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/381344/d-orsogna-tasty-sticks-mild-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/381344.jpg
Woolworths Middle Bacon 1kg,$11.50,Woolworths,Deli,https://www.woolworths.com.au/shop/productdetails/48358/woolworths-middle-bacon-middle-rashers,https://cdn1.woolworths.media/content/wowproductimages/large/048358.jpg
Woolworths Shredded Parmesan Cheese 250g,$5.70,Woolworths,Deli,https://www.woolworths.com.au/shop/productdetails/85587/woolworths-shredded-parmesan-cheese,https://cdn1.woolworths.media/content/wowproductimages/large/085587.jpg
Hans Devon Sliced,$9.50,Hans,Deli,https://www.woolworths.com.au/shop/productdetails/48527/hans-devon-sliced,https://cdn1.woolworths.media/content/wowproductimages/large/048527.jpg
Woolworths Short Cut Bacon 200g,$4.00,Woolworths,Deli,https://www.woolworths.com.au/shop/productdetails/509865/woolworths-short-cut-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/509865.jpg
Ingham's Oven Roasted Turkey Breast Sliced From The Deli,N/A,Ingham's,Deli,https://www.woolworths.com.au/shop/productdetails/59755/ingham-s-oven-roasted-turkey-breast-sliced-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/059755.jpg
Don Premium Shredded Leg Ham 170g,$5.70,Don,Deli,https://www.woolworths.com.au/shop/productdetails/6033693/don-premium-shredded-leg-ham,https://cdn1.woolworths.media/content/wowproductimages/large/6033693.jpg
Primo Diced Bacon Pieces Cook & Create Twin Pack 300g,$4.70,Primo,Deli,https://www.woolworths.com.au/shop/productdetails/250708/primo-diced-bacon-pieces-cook-create-twin-pack,https://cdn1.woolworths.media/content/wowproductimages/large/250708.jpg
Nuffin Fetta & Cracked Pepper Dip 200g,$5.00,Nuffin,Deli,https://www.woolworths.com.au/shop/productdetails/208001/nuffin-fetta-cracked-pepper-dip,https://cdn1.woolworths.media/content/wowproductimages/large/208001.jpg
Nuffin Chive & Onion Dip 200g,$5.00,Nuffin,Deli,https://www.woolworths.com.au/shop/productdetails/208804/nuffin-chive-onion-dip,https://cdn1.woolworths.media/content/wowproductimages/large/208804.jpg
Nuffin Capsicum & Onion Dip 200g,$5.00,Nuffin,Deli,https://www.woolworths.com.au/shop/productdetails/239678/nuffin-capsicum-onion-dip,https://cdn1.woolworths.media/content/wowproductimages/large/239678.jpg
Nuffin Hommus Dip 200g,$5.00,Nuffin,Deli,https://www.woolworths.com.au/shop/productdetails/208397/nuffin-hommus-dip,https://cdn1.woolworths.media/content/wowproductimages/large/208397.jpg
D'Orsogna Leg Ham Shaved 4 pack,$7.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/390450/d-orsogna-leg-ham-shaved,https://cdn1.woolworths.media/content/wowproductimages/large/390450.jpg
D'Orsogna Diced Bacon,$20.00,D'Orsogna,Deli,https://www.woolworths.com.au/shop/productdetails/71860/d-orsogna-diced-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/071860.jpg
Don Melosi Leg Ham Shaved From The Deli,$32.50,Don Melosi,Deli,https://www.woolworths.com.au/shop/productdetails/6001529/don-melosi-leg-ham-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/6001529.jpg
Don Thin Frankfurts From The Deli,$9.50,Don,Deli,https://www.woolworths.com.au/shop/productdetails/741872/don-thin-frankfurts-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/741872.jpg
Primo Mild Hungarian Sliced Salami 80g,$3.95,Primo,Deli,https://www.woolworths.com.au/shop/productdetails/544764/primo-mild-hungarian-sliced-salami-mild,https://cdn1.woolworths.media/content/wowproductimages/large/544764.jpg
Perfect Italiano Parmesan Cheese Grated 125g,$4.50,Perfect Italiano,Deli,https://www.woolworths.com.au/shop/productdetails/42161/perfect-italiano-parmesan-cheese-grated-parmesan,https://cdn1.woolworths.media/content/wowproductimages/large/042161.jpg
SSS Foods White Bean Garlic & Basil Dip 200g,$4.30,SSS Foods,Deli,https://www.woolworths.com.au/shop/productdetails/943264/sss-foods-white-bean-garlic-basil-dip,https://cdn1.woolworths.media/content/wowproductimages/large/943264.jpg
Ingham's Chicken Sliced Roll,$16.00,Ingham's,Deli,https://www.woolworths.com.au/shop/productdetails/30936/ingham-s-chicken-sliced-roll,https://cdn1.woolworths.media/content/wowproductimages/large/030936.jpg
Primo Pepperoni Thinly Sliced 80g,$3.95,Primo,Deli,https://www.woolworths.com.au/shop/productdetails/544765/primo-pepperoni-thinly-sliced-hot,https://cdn1.woolworths.media/content/wowproductimages/large/544765.jpg
Willow Farm Dip French Onion 200g,$2.60,Willow Farm,Deli,https://www.woolworths.com.au/shop/productdetails/323321/willow-farm-dip-french-onion,https://cdn1.woolworths.media/content/wowproductimages/large/323321.jpg
Primo Double Smoked Sliced Leg Ham 100g,$3.95,Primo,Deli,https://www.woolworths.com.au/shop/productdetails/544760/primo-double-smoked-sliced-leg-ham-double-smoked,https://cdn1.woolworths.media/content/wowproductimages/large/544760.jpg
Woolworths Shortcut Bacon 500g,$8.00,Woolworths,Deli,https://www.woolworths.com.au/shop/productdetails/55374/woolworths-shortcut-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/055374.jpg
Bertocchi Premium Boneless Leg Ham Shaved From The Deli,$27.50,Bertocchi,Deli,https://www.woolworths.com.au/shop/productdetails/353946/bertocchi-premium-boneless-leg-ham-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/353946.jpg
Willow Farm Dip Tzatziki 200g,$2.60,Willow Farm,Deli,https://www.woolworths.com.au/shop/productdetails/323309/willow-farm-dip-tzatziki,https://cdn1.woolworths.media/content/wowproductimages/large/323309.jpg
Riverland Ham Sliced Quad Pack 500g,$7.40,Riverland,Deli,https://www.woolworths.com.au/shop/productdetails/390863/riverland-ham-sliced-quad-pack,https://cdn1.woolworths.media/content/wowproductimages/large/390863.jpg
Moira Mac's Marinated BBQ Chicken Breast Sliced,$29.50,Moira Mac's,Deli,https://www.woolworths.com.au/shop/productdetails/11303/moira-mac-s-marinated-bbq-chicken-breast-sliced,https://cdn1.woolworths.media/content/wowproductimages/large/011303.jpg
Primo English Style Sliced Leg Ham 100g,$3.95,Primo,Deli,https://www.woolworths.com.au/shop/productdetails/544696/primo-english-style-sliced-leg-ham,https://cdn1.woolworths.media/content/wowproductimages/large/544696.jpg
Perfect Italiano Parmesan Cheese Block 200g,$6.50,Perfect Italiano,Deli,https://www.woolworths.com.au/shop/productdetails/807868/perfect-italiano-parmesan-cheese-block,https://cdn1.woolworths.media/content/wowproductimages/large/807868.jpg
