title,price,brand,category,producturl,imageurl
McCain Mixed Vegetables Peas Corn & Carrot 500g,$3.60,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/54233/mccain-mixed-vegetables-peas-corn-carrot,https://cdn1.woolworths.media/content/wowproductimages/large/054233.jpg
Birds Eye Deli Cheesy Bakes Three Cheese Cauliflower Bake 600g,$8.50,Birds Eye,Freezer,https://www.woolworths.com.au/shop/productdetails/6007000/birds-eye-deli-cheesy-bakes-three-cheese-cauliflower-bake,https://cdn1.woolworths.media/content/wowproductimages/large/6007000.jpg
McCain Superfries Shoestring 900g,$4.30,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/662937/mccain-superfries-shoestring,https://cdn1.woolworths.media/content/wowproductimages/large/662937.jpg
McCain Peas Baby 500g,$3.90,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/18574/mccain-peas-baby,https://cdn1.woolworths.media/content/wowproductimages/large/018574.jpg
McCain Hash Browns Shredded 750g,$5.80,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/98299/mccain-hash-browns-shredded,https://cdn1.woolworths.media/content/wowproductimages/large/098299.jpg
Woolworths Puff Pastry Sheets 1kg,$3.80,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/18366/woolworths-puff-pastry-sheets,https://cdn1.woolworths.media/content/wowproductimages/large/018366.jpg
Bell Farms Chopped Spinach 250g,$1.09,Bell Farms,Freezer,https://www.woolworths.com.au/shop/productdetails/516857/bell-farms-chopped-spinach,https://cdn1.woolworths.media/content/wowproductimages/large/516857.jpg
Woolworths Frozen Raspberries 500g,$7.00,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/260004/woolworths-frozen-raspberries,https://cdn1.woolworths.media/content/wowproductimages/large/260004.jpg
Woolworths Frozen Mixed Berries 1kg,$11.00,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/586517/woolworths-frozen-mixed-berries,https://cdn1.woolworths.media/content/wowproductimages/large/586517.jpg
Woolworths Prep Set Go Diced Frozen Onions 500g,$3.00,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/61998/woolworths-prep-set-go-diced-frozen-onions,https://cdn1.woolworths.media/content/wowproductimages/large/061998.jpg
Birds Eye Deli Seasoned Sides Garlic Butter Style & Parsley 600g,$5.60,Birds Eye,Freezer,https://www.woolworths.com.au/shop/productdetails/6007291/birds-eye-deli-seasoned-sides-garlic-butter-style-parsley,https://cdn1.woolworths.media/content/wowproductimages/large/6007291.jpg
McCain Superfries Straight Cut 900g,$4.30,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/662933/mccain-superfries-straight-cut,https://cdn1.woolworths.media/content/wowproductimages/large/662933.jpg
Marathon Dim Sims 1.5kg,$12.00,Marathon,Freezer,https://www.woolworths.com.au/shop/productdetails/48914/marathon-dim-sims-dim-sims,https://cdn1.woolworths.media/content/wowproductimages/large/048914.jpg
McCain Beans Baby 500g,$4.00,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/22239/mccain-beans-baby,https://cdn1.woolworths.media/content/wowproductimages/large/022239.jpg
Woolworths Frozen Blueberries 500g,$5.70,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/260007/woolworths-frozen-blueberries,https://cdn1.woolworths.media/content/wowproductimages/large/260007.jpg
Woolworths Frozen Mixed Berries 500g,$5.70,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/260010/woolworths-frozen-mixed-berries,https://cdn1.woolworths.media/content/wowproductimages/large/260010.jpg
McCain Pub Style Extra Crispy Chips 750g,$6.00,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/822845/mccain-pub-style-extra-crispy-chips,https://cdn1.woolworths.media/content/wowproductimages/large/822845.jpg
Woolworths Broccoli Florets 500g,$4.00,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/768559/woolworths-broccoli-florets,https://cdn1.woolworths.media/content/wowproductimages/large/768559.jpg
Woolworths Frozen Mango 1kg,$9.00,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/820796/woolworths-frozen-mango,https://cdn1.woolworths.media/content/wowproductimages/large/820796.jpg
Essentials Frozen Peas 1kg,$2.50,Essentials,Freezer,https://www.woolworths.com.au/shop/productdetails/96845/essentials-frozen-peas,https://cdn1.woolworths.media/content/wowproductimages/large/096845.jpg
Woolworths Carrots Peas & Corn 1kg,$5.00,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/768569/woolworths-carrots-peas-corn,https://cdn1.woolworths.media/content/wowproductimages/large/768569.jpg
Woolworths Frozen Blueberries 1kg,$11.00,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/586516/woolworths-frozen-blueberries,https://cdn1.woolworths.media/content/wowproductimages/large/586516.jpg
Woolworths Frozen Sliced Beans 500g,$2.80,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/768558/woolworths-frozen-sliced-beans,https://cdn1.woolworths.media/content/wowproductimages/large/768558.jpg
Essentials Frozen Mixed Vegetables 1kg,$2.80,Essentials,Freezer,https://www.woolworths.com.au/shop/productdetails/93915/essentials-frozen-mixed-vegetables,https://cdn1.woolworths.media/content/wowproductimages/large/093915.jpg
Woolworths Frozen Strawberries 500g,$6.50,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/777899/woolworths-frozen-strawberries,https://cdn1.woolworths.media/content/wowproductimages/large/777899.jpg
Woolworths Frozen Australian Peas 1kg,$3.80,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/754169/woolworths-frozen-australian-peas,https://cdn1.woolworths.media/content/wowproductimages/large/754169.jpg
Umami Edamame Salad 200g,$2.50,Umami,Freezer,https://www.woolworths.com.au/shop/productdetails/658326/umami-edamame-salad,https://cdn1.woolworths.media/content/wowproductimages/large/658326.jpg
Birds Eye Golden Crunch Crinkle Cut Chips 900g,$6.00,Birds Eye,Freezer,https://www.woolworths.com.au/shop/productdetails/180652/birds-eye-golden-crunch-crinkle-cut-chips,https://cdn1.woolworths.media/content/wowproductimages/large/180652.jpg
Woolworths Broccoli & Cauliflower 500g,$4.00,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/768561/woolworths-broccoli-cauliflower,https://cdn1.woolworths.media/content/wowproductimages/large/768561.jpg
Woolworths Winter Veg Mix 1kg,$5.20,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/768567/woolworths-winter-veg-mix,https://cdn1.woolworths.media/content/wowproductimages/large/768567.jpg
Bulla Creamy Classics Ice Cream Vanilla 2L,$11.00,Bulla,Freezer,https://www.woolworths.com.au/shop/productdetails/191043/bulla-creamy-classics-ice-cream-vanilla,https://cdn1.woolworths.media/content/wowproductimages/large/191043.jpg
McCain Pizza Meatlovers BBQ 500g,$6.80,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/252640/mccain-pizza-meatlovers-bbq,https://cdn1.woolworths.media/content/wowproductimages/large/252640.jpg
McCain Pizza Cheese & Bacon 500g,$6.80,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/93831/mccain-pizza-cheese-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/093831.jpg
McCain Mixed Vegetables Peas & Corn 500g,$4.00,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/54232/mccain-mixed-vegetables-peas-corn,https://cdn1.woolworths.media/content/wowproductimages/large/054232.jpg
Marathon Spring Rolls 660g,$5.70,Marathon,Freezer,https://www.woolworths.com.au/shop/productdetails/387085/marathon-spring-rolls,https://cdn1.woolworths.media/content/wowproductimages/large/387085.jpg
Woolworths Potato Minis 1kg,$5.80,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/695650/woolworths-potato-minis,https://cdn1.woolworths.media/content/wowproductimages/large/695650.jpg
Woolworths Party Pies 24 pack,$8.70,Woolworths,Freezer,https://www.woolworths.com.au/shop/productdetails/621328/woolworths-party-pies,https://cdn1.woolworths.media/content/wowproductimages/large/621328.jpg
Creative Gourmet Frozen Banana Chunks 500g,$5.00,Creative Gourmet,Freezer,https://www.woolworths.com.au/shop/productdetails/532199/creative-gourmet-frozen-banana-chunks,https://cdn1.woolworths.media/content/wowproductimages/large/532199.jpg
Birds Eye Potato Gems Bite Size Hash Brown 900g,$6.80,Birds Eye,Freezer,https://www.woolworths.com.au/shop/productdetails/180109/birds-eye-potato-gems-bite-size-hash-brown,https://cdn1.woolworths.media/content/wowproductimages/large/180109.jpg
McCain Peas Baby 500g,$3.90,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/18574/mccain-peas-baby,https://cdn1.woolworths.media/content/wowproductimages/large/018574.jpg
McCain Superfries Straight Cut 900g,$4.30,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/662933/mccain-superfries-straight-cut,https://cdn1.woolworths.media/content/wowproductimages/large/662933.jpg
Marathon Puffy Dogs 600g,$9.00,Marathon,Freezer,https://www.woolworths.com.au/shop/productdetails/215516/marathon-puffy-dogs,https://cdn1.woolworths.media/content/wowproductimages/large/215516.jpg
McCain Pub Size Chicken Bacon Bake Frozen Meal 480g,$7.50,McCain,Freezer,https://www.woolworths.com.au/shop/productdetails/817102/mccain-pub-size-chicken-bacon-bake-frozen-meal,https://cdn1.woolworths.media/content/wowproductimages/large/817102.jpg
