title,price,brand,category,producturl,imageurl
Cholula Original Taco Spice Seasoning Mix 28g,$3.00,Cholula,Pantry,https://www.woolworths.com.au/shop/productdetails/6005486/cholula-original-taco-spice-seasoning-mix,https://cdn1.woolworths.media/content/wowproductimages/large/6005486.jpg
Dilmah Extra Strength Tea Bags 50 pack,$4.80,Dilmah,Pantry,https://www.woolworths.com.au/shop/productdetails/199689/dilmah-extra-strength-tea-bags,https://cdn1.woolworths.media/content/wowproductimages/large/199689.jpg
Dilmah Premium Quality Tea Bags 100 pack,$7.20,Dilmah,Pantry,https://www.woolworths.com.au/shop/productdetails/38288/dilmah-premium-quality-tea-bags,https://cdn1.woolworths.media/content/wowproductimages/large/038288.jpg
Cadbury Baking Milk Chocolate Chips Value Pack 410g,$8.40,Cadbury,Pantry,https://www.woolworths.com.au/shop/productdetails/208101/cadbury-baking-milk-chocolate-chips-value-pack,https://cdn1.woolworths.media/content/wowproductimages/large/208101.jpg
Woolworths Full Cream Long Life Milk UHT 1L,$1.65,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/748595/woolworths-full-cream-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/748595.jpg
Woolworths Diced Italian Tomatoes 400g,$1.10,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/770320/woolworths-diced-italian-tomatoes,https://cdn1.woolworths.media/content/wowproductimages/large/770320.jpg
Woolworths Skim Long Life Milk UHT 1L,$1.65,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/748597/woolworths-skim-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/748597.jpg
Devondale 100% Pure Full Cream Long Life Milk UHT 1L,$2.00,Devondale,Pantry,https://www.woolworths.com.au/shop/productdetails/33557/devondale-100-pure-full-cream-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/033557.jpg
Woolworths Free From Lactose Lite Long Life Milk UHT 1L,$2.00,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/799813/woolworths-free-from-lactose-lite-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/799813.jpg
Woolworths Lite Long Life Milk UHT 1L,$1.65,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/748596/woolworths-lite-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/748596.jpg
Dilmah Extra Strength Tea Bags 100 pack,$8.80,Dilmah,Pantry,https://www.woolworths.com.au/shop/productdetails/196566/dilmah-extra-strength-tea-bags,https://cdn1.woolworths.media/content/wowproductimages/large/196566.jpg
Cadbury Baking Milk Chocolate Chips 200g,$6.00,Cadbury,Pantry,https://www.woolworths.com.au/shop/productdetails/829004/cadbury-baking-milk-chocolate-chips,https://cdn1.woolworths.media/content/wowproductimages/large/829004.jpg
Raguletto Red Wine Bolognese Pasta Sauce With Tomato & Garlic 500g,$2.70,Raguletto,Pantry,https://www.woolworths.com.au/shop/productdetails/15479/raguletto-red-wine-bolognese-pasta-sauce-with-tomato-garlic,https://cdn1.woolworths.media/content/wowproductimages/large/015479.jpg
Cholula Salsa Verde 340g,$4.90,Cholula,Pantry,https://www.woolworths.com.au/shop/productdetails/6005143/cholula-salsa-verde,https://cdn1.woolworths.media/content/wowproductimages/large/6005143.jpg
Woolworths Corn Sweet Kernels 420g,$1.20,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/218926/woolworths-corn-sweet-kernels,https://cdn1.woolworths.media/content/wowproductimages/large/218926.jpg
La Gina Italian Tomato Paste Passata 680g,$1.95,La Gina,Pantry,https://www.woolworths.com.au/shop/productdetails/63005/la-gina-italian-tomato-paste-passata,https://cdn1.woolworths.media/content/wowproductimages/large/063005.jpg
Woolworths Tuna In Springwater 95g,$1.10,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/476700/woolworths-tuna-in-springwater,https://cdn1.woolworths.media/content/wowproductimages/large/476700.jpg
Woolworths Free From Lactose Full Cream Long Life Milk UHT 1L,$2.00,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/799811/woolworths-free-from-lactose-full-cream-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/799811.jpg
Essentials Plain Flour 1kg,$1.30,Essentials,Pantry,https://www.woolworths.com.au/shop/productdetails/33282/essentials-plain-flour,https://cdn1.woolworths.media/content/wowproductimages/large/033282.jpg
Weet-Bix Breakfast Cereal 1.2kg,$6.00,Weet-Bix,Pantry,https://www.woolworths.com.au/shop/productdetails/200695/weet-bix-breakfast-cereal,https://cdn1.woolworths.media/content/wowproductimages/large/200695.jpg
Essentials Coconut Milk 400mL,$1.10,Essentials,Pantry,https://www.woolworths.com.au/shop/productdetails/694751/essentials-coconut-milk,https://cdn1.woolworths.media/content/wowproductimages/large/694751.jpg
Essentials White Vinegar 2L,$1.85,Essentials,Pantry,https://www.woolworths.com.au/shop/productdetails/94706/essentials-white-vinegar,https://cdn1.woolworths.media/content/wowproductimages/large/094706.jpg
Woolworths Sweetened Condensed Milk 397g,$2.20,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/84763/woolworths-sweetened-condensed-milk,https://cdn1.woolworths.media/content/wowproductimages/large/084763.jpg
Vitasoy Oat Milky Long Life Milk UHT 1L,$3.00,Vitasoy,Pantry,https://www.woolworths.com.au/shop/productdetails/148781/vitasoy-oat-milky-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/148781.jpg
Woolworths Microwave Jasmine Rice 250g,$1.80,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/360346/woolworths-microwave-jasmine-rice,https://cdn1.woolworths.media/content/wowproductimages/large/360346.jpg
Deep Cove Sardines In Springwater 125g,$1.00,Deep Cove,Pantry,https://www.woolworths.com.au/shop/productdetails/83235/deep-cove-sardines-in-springwater,https://cdn1.woolworths.media/content/wowproductimages/large/083235.jpg
Woolworths Chickpeas 420g,$1.10,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/907050/woolworths-chickpeas,https://cdn1.woolworths.media/content/wowproductimages/large/907050.jpg
Woolworths Pasta Spirals 500g,$1.00,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/346833/woolworths-pasta-spirals,https://cdn1.woolworths.media/content/wowproductimages/large/346833.jpg
Essentials Long Grain Rice 1kg,$1.80,Essentials,Pantry,https://www.woolworths.com.au/shop/productdetails/35007/essentials-long-grain-rice-long-grain,https://cdn1.woolworths.media/content/wowproductimages/large/035007.jpg
Woolworths Pasta Spaghetti 500g,$1.00,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/346830/woolworths-pasta-spaghetti,https://cdn1.woolworths.media/content/wowproductimages/large/346830.jpg
Essentials Coconut Cream 400mL,$1.10,Essentials,Pantry,https://www.woolworths.com.au/shop/productdetails/31370/essentials-coconut-cream,https://cdn1.woolworths.media/content/wowproductimages/large/031370.jpg
Woolworths Tomato Sauce Squeeze 500mL,$2.00,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/230519/woolworths-tomato-sauce-squeeze,https://cdn1.woolworths.media/content/wowproductimages/large/230519.jpg
Raguletto Napolitana Bolognese Pasta Sauce With Tomato & Garlic 500g,$2.70,Raguletto,Pantry,https://www.woolworths.com.au/shop/productdetails/4533/raguletto-napolitana-bolognese-pasta-sauce-with-tomato-garlic,https://cdn1.woolworths.media/content/wowproductimages/large/004533.jpg
Cholula Chilli Garlic Taco Spice Seasoning Mix 28g,$3.00,Cholula,Pantry,https://www.woolworths.com.au/shop/productdetails/6006813/cholula-chilli-garlic-taco-spice-seasoning-mix,https://cdn1.woolworths.media/content/wowproductimages/large/6006813.jpg
Frank's RedHot Buffalo Wings Hot Sauce 148mL,$3.50,Frank's,Pantry,https://www.woolworths.com.au/shop/productdetails/61704/frank-s-redhot-buffalo-wings-hot-sauce,https://cdn1.woolworths.media/content/wowproductimages/large/061704.jpg
Dilmah Ceylon Tea Bags 50 pack,$4.50,Dilmah,Pantry,https://www.woolworths.com.au/shop/productdetails/5306/dilmah-ceylon-tea-bags,https://cdn1.woolworths.media/content/wowproductimages/large/005306.jpg
Indomie Mi Goreng Instant Noodles 5 pack,$3.95,Indomie,Pantry,https://www.woolworths.com.au/shop/productdetails/177972/indomie-mi-goreng-instant-noodles,https://cdn1.woolworths.media/content/wowproductimages/large/177972.jpg
Bonsoy Soy Long Life Milk UHT 1L,$4.50,Bonsoy,Pantry,https://www.woolworths.com.au/shop/productdetails/56731/bonsoy-soy-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/056731.jpg
Mutti Polpa Finely Chopped Tomatoes 400g,$2.30,Mutti,Pantry,https://www.woolworths.com.au/shop/productdetails/344550/mutti-polpa-finely-chopped-tomatoes,https://cdn1.woolworths.media/content/wowproductimages/large/344550.jpg
Maggi Chicken Flavour Cup Instant Noodles 60g,$2.50,Maggi,Pantry,https://www.woolworths.com.au/shop/productdetails/224905/maggi-chicken-flavour-cup-instant-noodles,https://cdn1.woolworths.media/content/wowproductimages/large/224905.jpg
Sirena Tuna In Oil Italian Style 95g,$2.95,Sirena,Pantry,https://www.woolworths.com.au/shop/productdetails/38609/sirena-tuna-in-oil-italian-style,https://cdn1.woolworths.media/content/wowproductimages/large/038609.jpg
Up&Go Protein Energize Liquid Breakfast Choc 250mL x 3 pack,$6.80,Up&Go,Pantry,https://www.woolworths.com.au/shop/productdetails/353338/up-go-protein-energize-liquid-breakfast-choc,https://cdn1.woolworths.media/content/wowproductimages/large/353338.jpg
Leggo's Australian Grown Crushed Tomatoes 410g,$2.00,Leggo's,Pantry,https://www.woolworths.com.au/shop/productdetails/883382/leggo-s-australian-grown-crushed-tomatoes,https://cdn1.woolworths.media/content/wowproductimages/large/883382.jpg
Cholula Smoky Chipotle Taco Spice Seasoning Mix 28g,$3.00,Cholula,Pantry,https://www.woolworths.com.au/shop/productdetails/6004824/cholula-smoky-chipotle-taco-spice-seasoning-mix,https://cdn1.woolworths.media/content/wowproductimages/large/6004824.jpg
Leggo's Bechamel Lasagne Sauce Made With Real Cream 490g,$4.30,Leggo's,Pantry,https://www.woolworths.com.au/shop/productdetails/6015548/leggo-s-bechamel-lasagne-sauce-made-with-real-cream,https://cdn1.woolworths.media/content/wowproductimages/large/6015548.jpg
Cobram Extra Virgin Rich & Robust Olive Oil 375mL,$13.00,Cobram,Pantry,https://www.woolworths.com.au/shop/productdetails/302643/cobram-extra-virgin-rich-robust-olive-oil,https://cdn1.woolworths.media/content/wowproductimages/large/302643.jpg
Vitasoy Unsweetened Almond Long Life Milk UHT 1L,$3.30,Vitasoy,Pantry,https://www.woolworths.com.au/shop/productdetails/926885/vitasoy-unsweetened-almond-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/926885.jpg
Woolworths Black Beans 420g,$1.10,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/907377/woolworths-black-beans,https://cdn1.woolworths.media/content/wowproductimages/large/907377.jpg
Woolworths Pineapple Slices In Juice 425g,$2.00,Woolworths,Pantry,https://www.woolworths.com.au/shop/productdetails/563001/woolworths-pineapple-slices-in-juice,https://cdn1.woolworths.media/content/wowproductimages/large/563001.jpg
Vitasoy Unsweetened Oat Long Life Milk UHT 1L,$3.30,Vitasoy,Pantry,https://www.woolworths.com.au/shop/productdetails/310675/vitasoy-unsweetened-oat-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/310675.jpg
Old El Paso Taco Spice Mix Taco Spice Mix 30g,$2.70,Old El Paso,Pantry,https://www.woolworths.com.au/shop/productdetails/93444/old-el-paso-taco-spice-mix-taco-spice-mix,https://cdn1.woolworths.media/content/wowproductimages/large/093444.jpg
