title,price,brand,category,producturl,imageurl
Swisspers Cotton Tips 240 pack,$5.00,Swisspers,Personal Care,https://www.woolworths.com.au/shop/productdetails/136913/swisspers-cotton-tips,https://cdn1.woolworths.media/content/wowproductimages/large/136913.jpg
Schick Hydro Silk Touch Up Disposable Razors 3 pack,$13.00,Schick,Personal Care,https://www.woolworths.com.au/shop/productdetails/139037/schick-hydro-silk-touch-up-disposable-razors,https://cdn1.woolworths.media/content/wowproductimages/large/139037.jpg
Swisspers Cotton Tips With Paper Stems 120 pack,$2.90,Swisspers,Personal Care,https://www.woolworths.com.au/shop/productdetails/805123/swisspers-cotton-tips-with-paper-stems,https://cdn1.woolworths.media/content/wowproductimages/large/805123.jpg
Schick Intuition Razor Pure Nourish Cartridges 3 pack,$16.50,Schick,Personal Care,https://www.woolworths.com.au/shop/productdetails/793575/schick-intuition-razor-pure-nourish-cartridges,https://cdn1.woolworths.media/content/wowproductimages/large/793575.jpg
Essentials Facial Tissues 224 pack,$1.90,Essentials,Personal Care,https://www.woolworths.com.au/shop/productdetails/759496/essentials-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/759496.jpg
Kleenex Aloe Vera & Vitamin E 3 Ply Facial Tissues 95 pack,$2.60,Kleenex,Personal Care,https://www.woolworths.com.au/shop/productdetails/79502/kleenex-aloe-vera-vitamin-e-3-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/079502.jpg
Symphony Facial Tissues White 228Ss 3 pack,$5.00,Symphony,Personal Care,https://www.woolworths.com.au/shop/productdetails/183671/symphony-facial-tissues-white-228ss,https://cdn1.woolworths.media/content/wowproductimages/large/183671.jpg
Kleenex Everyday 2 Ply Facial Tissues 200 pack,$3.00,Kleenex,Personal Care,https://www.woolworths.com.au/shop/productdetails/63899/kleenex-everyday-2-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/063899.jpg
Quilton 2Ply Tissue Hypo-Allergenic 250 pack,$2.90,Quilton,Personal Care,https://www.woolworths.com.au/shop/productdetails/644239/quilton-2ply-tissue-hypo-allergenic,https://cdn1.woolworths.media/content/wowproductimages/large/644239.jpg
Kleenex Large & Thick 3 Ply Facial Tissues 95 pack,$3.50,Kleenex,Personal Care,https://www.woolworths.com.au/shop/productdetails/172610/kleenex-large-thick-3-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/172610.jpg
Swisspers Cotton Pads Make Up 80 pack,$4.30,Swisspers,Personal Care,https://www.woolworths.com.au/shop/productdetails/15722/swisspers-cotton-pads-make-up,https://cdn1.woolworths.media/content/wowproductimages/large/015722.jpg
LYNX Deodorant Body Spray Africa 48h 165mL,$5.00,LYNX,Personal Care,https://www.woolworths.com.au/shop/productdetails/78757/lynx-deodorant-body-spray-africa-48h,https://cdn1.woolworths.media/content/wowproductimages/large/078757.jpg
Swisspers Paper Cotton Stems 400 pack,$5.20,Swisspers,Personal Care,https://www.woolworths.com.au/shop/productdetails/136745/swisspers-paper-cotton-stems,https://cdn1.woolworths.media/content/wowproductimages/large/136745.jpg
Rexona Men Advanced Sport Anti Perspirant 220mL x 2 pack,$13.50,Rexona,Personal Care,https://www.woolworths.com.au/shop/productdetails/904797/rexona-men-advanced-sport-anti-perspirant,https://cdn1.woolworths.media/content/wowproductimages/large/904797.jpg
Colgate Cavity Protection Toothpaste Great Regular Flavour 180g,$3.45,Colgate,Personal Care,https://www.woolworths.com.au/shop/productdetails/178201/colgate-cavity-protection-toothpaste-great-regular-flavour,https://cdn1.woolworths.media/content/wowproductimages/large/178201.jpg
Colgate Toothpaste Triple Action Micro Cleaning 165g,$3.45,Colgate,Personal Care,https://www.woolworths.com.au/shop/productdetails/179253/colgate-toothpaste-triple-action-micro-cleaning,https://cdn1.woolworths.media/content/wowproductimages/large/179253.jpg
Colgate Whitening Toothpaste Advanced Whiten Tartar Control 200g,$10.00,Colgate,Personal Care,https://www.woolworths.com.au/shop/productdetails/197044/colgate-whitening-toothpaste-advanced-whiten-tartar-control,https://cdn1.woolworths.media/content/wowproductimages/large/197044.jpg
Kleenex Eucalyptus 3 Ply Facial Tissues 95 pack,$2.60,Kleenex,Personal Care,https://www.woolworths.com.au/shop/productdetails/79492/kleenex-eucalyptus-3-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/079492.jpg
Quilton Gold 4 Ply Tissues Aloe Vera 100 pack,$2.00,Quilton,Personal Care,https://www.woolworths.com.au/shop/productdetails/644240/quilton-gold-4-ply-tissues-aloe-vera,https://cdn1.woolworths.media/content/wowproductimages/large/644240.jpg
Palmolive Liquid Hand Wash Soap Odour Neutralising 250mL,$3.50,Palmolive,Personal Care,https://www.woolworths.com.au/shop/productdetails/325881/palmolive-liquid-hand-wash-soap-odour-neutralising,https://cdn1.woolworths.media/content/wowproductimages/large/325881.jpg
Dettol Antibacterial Liquid Hand Wash Hand Soap Pump Refresh 250mL,$2.80,Dettol,Personal Care,https://www.woolworths.com.au/shop/productdetails/97088/dettol-antibacterial-liquid-hand-wash-hand-soap-pump-refresh,https://cdn1.woolworths.media/content/wowproductimages/large/097088.jpg
Kleenex Aloe Vera & Vitamin E 3 Ply Facial Tissues 140 pack,$4.50,Kleenex,Personal Care,https://www.woolworths.com.au/shop/productdetails/32969/kleenex-aloe-vera-vitamin-e-3-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/032969.jpg
Sorbent Facial Tissues Thick & Large White 95 pack,$2.20,Sorbent,Personal Care,https://www.woolworths.com.au/shop/productdetails/29425/sorbent-facial-tissues-thick-large-white,https://cdn1.woolworths.media/content/wowproductimages/large/029425.jpg
U by Kotex Ultrathin Pads Regular with Wings 14 pack,$5.00,U by Kotex,Personal Care,https://www.woolworths.com.au/shop/productdetails/748551/u-by-kotex-ultrathin-pads-regular-with-wings,https://cdn1.woolworths.media/content/wowproductimages/large/748551.jpg
Quilton Facial Tissue White 3Ply 55Ss White 3Ply each,$2.30,Quilton,Personal Care,https://www.woolworths.com.au/shop/productdetails/318338/quilton-facial-tissue-white-3ply-55ss-white-3ply,https://cdn1.woolworths.media/content/wowproductimages/large/318338.jpg
Libra Ultra Thins Pads Wings Regular 14 pack,$4.20,Libra,Personal Care,https://www.woolworths.com.au/shop/productdetails/22033/libra-ultra-thins-pads-wings-regular,https://cdn1.woolworths.media/content/wowproductimages/large/022033.jpg
Help@Hand Cotton Tips No Plastic Stems 200 pack,$2.50,Help@Hand,Personal Care,https://www.woolworths.com.au/shop/productdetails/220751/help-hand-cotton-tips-no-plastic-stems,https://cdn1.woolworths.media/content/wowproductimages/large/220751.jpg
Palmolive Naturals Foaming Liquid Hand Wash Cherry Blossom 250mL,$2.00,Palmolive,Personal Care,https://www.woolworths.com.au/shop/productdetails/500851/palmolive-naturals-foaming-liquid-hand-wash-cherry-blossom,https://cdn1.woolworths.media/content/wowproductimages/large/500851.jpg
The Balnea Body Company Milk & Honey Body Wash 1L,$4.80,The Balnea Body Company,Personal Care,https://www.woolworths.com.au/shop/productdetails/234666/the-balnea-body-company-milk-honey-body-wash,https://cdn1.woolworths.media/content/wowproductimages/large/234666.jpg
Help@Hand Make Up Pads 80 pack,$1.50,Help@Hand,Personal Care,https://www.woolworths.com.au/shop/productdetails/791122/help-hand-make-up-pads,https://cdn1.woolworths.media/content/wowproductimages/large/791122.jpg
Palmolive Hand Wash Antibacterial Pump Orange 250mL,$3.50,Palmolive,Personal Care,https://www.woolworths.com.au/shop/productdetails/379968/palmolive-hand-wash-antibacterial-pump-orange,https://cdn1.woolworths.media/content/wowproductimages/large/379968.jpg
Dove Beauty Cream Bar Original 90g x 4 pack,$9.50,Dove,Personal Care,https://www.woolworths.com.au/shop/productdetails/224828/dove-beauty-cream-bar-original,https://cdn1.woolworths.media/content/wowproductimages/large/224828.jpg
Rexona Men Advanced Protection Deodorant Workout 220mL,$10.50,Rexona,Personal Care,https://www.woolworths.com.au/shop/productdetails/68832/rexona-men-advanced-protection-deodorant-workout,https://cdn1.woolworths.media/content/wowproductimages/large/068832.jpg
Rexona Women Clinical Protection 96H Antiperspirant Summer Strength 180mL,$6.00,Rexona,Personal Care,https://www.woolworths.com.au/shop/productdetails/814799/rexona-women-clinical-protection-96h-antiperspirant-summer-strength,https://cdn1.woolworths.media/content/wowproductimages/large/814799.jpg
Oral-B Pro Health Complete Defence System Deep Clean Toothpaste 110g,$6.00,Oral-B,Personal Care,https://www.woolworths.com.au/shop/productdetails/426213/oral-b-pro-health-complete-defence-system-deep-clean-toothpaste,https://cdn1.woolworths.media/content/wowproductimages/large/426213.jpg
Swisspers Cotton Large Make Up Pads 50 pack,$3.70,Swisspers,Personal Care,https://www.woolworths.com.au/shop/productdetails/740153/swisspers-cotton-large-make-up-pads,https://cdn1.woolworths.media/content/wowproductimages/large/740153.jpg
