name,price,productURL,imageURL
Coca-Cola Classic Soft Drink Bottle,$4.00,https://www.coles.com.au/product/coca-cola-classic-soft-drink-bottle-1.25l-123011,https://cdn.productimages.coles.com.au/productimages/1/123011.jpg
Coca-Cola Zero Sugar Soft Drink Bottle,$4.00,https://www.coles.com.au/product/coca-cola-zero-sugar-soft-drink-bottle-1.25l-2993706,https://cdn.productimages.coles.com.au/productimages/2/2993706.jpg
Coca-Cola Classic Soft Drink Multipack Cans 10x375ml,$20.00,https://www.coles.com.au/product/coca-cola-classic-soft-drink-multipack-cans-10x375ml-10-pack-1849307,https://cdn.productimages.coles.com.au/productimages/1/1849307.jpg
Coca-Cola Zero Sugar Soft Drink Can,$2.65,https://www.coles.com.au/product/coca-cola-zero-sugar-soft-drink-can-250ml-2993761,https://cdn.productimages.coles.com.au/productimages/2/2993761.jpg
Coca-Cola Zero Sugar Caffeine Free Soft Drink Bottle,$4.00,https://www.coles.com.au/product/coca-cola-zero-sugar-caffeine-free-soft-drink-bottle-1.25l-3989555,https://cdn.productimages.coles.com.au/productimages/3/3989555.jpg
Coca-Cola Vanilla Soft Drink,$4.00,https://www.coles.com.au/product/coca-cola-vanilla-soft-drink-1.25l-9391600,https://cdn.productimages.coles.com.au/productimages/9/9391600.jpg
Coca-Cola Zero Sugar Caffeine Free Soft Drink Multipack Cans 10x375ml,$20.00,https://www.coles.com.au/product/coca-cola-zero-sugar-caffeine-free-soft-drink-multipack-cans-10x375ml-10-pack-3989996,https://cdn.productimages.coles.com.au/productimages/3/3989996.jpg
Coca-Cola Classic Soft Drink Can,$2.65,https://www.coles.com.au/product/coca-cola-classic-soft-drink-can-250ml-2034105,https://cdn.productimages.coles.com.au/productimages/2/2034105.jpg
Coca-Cola Diet Coke Soft Drink Bottle,$4.00,https://www.coles.com.au/product/coca-cola-diet-coke-soft-drink-bottle-1.25l-419211,https://cdn.productimages.coles.com.au/productimages/4/419211.jpg
Coca-Cola Zero Sugar Vanilla Soft Drink Multipack Cans 10x375ml,$20.00,https://www.coles.com.au/product/coca-cola-zero-sugar-vanilla-soft-drink-multipack-cans-10x375ml-10-pack-3989974,https://cdn.productimages.coles.com.au/productimages/3/3989974.jpg
Coca-Cola Diet Soft Drink Multipack Cans 10x375mL,$20.00,https://www.coles.com.au/product/coca-cola-diet-soft-drink-multipack-cans-10x375ml-10-pack-1849318,https://cdn.productimages.coles.com.au/productimages/1/1849318.jpg
Coca-Cola Zero Sugar Vanilla Soft Drink Bottle,$4.00,https://www.coles.com.au/product/coca-cola-zero-sugar-vanilla-soft-drink-bottle-1.25l-3271060,https://cdn.productimages.coles.com.au/productimages/3/3271060.jpg
Coca-Cola Diet Soft Drink Mini Can,$2.65,https://www.coles.com.au/product/coca-cola-diet-soft-drink-mini-can-250ml-2034127,https://cdn.productimages.coles.com.au/productimages/2/2034127.jpg
