title,price,productUrl,imageUrl,brand,category
Coca-Cola Classic Soft Drink Multipack Cans,$16.40,https://www.igashop.com.au/product/382216,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/9300675014779_0.jpg",Coca-Cola,Flavoured Soft Drinks
Coca-Cola Zero Sugar Soft Drink Bottle,$3.40,https://www.igashop.com.au/product/848631,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/848631.jpg",Coca-Cola,Flavoured Soft Drinks
Coca-Cola Zero Sugar Soft Drink Multipack Cans,$16.40,https://www.igashop.com.au/product/848694,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/848694.jpg",Coca-Cola,Flavoured Soft Drinks
Coca-Cola Classic Soft Drink Bottle,$3.40,https://www.igashop.com.au/product/13011,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/9300675001113_0.jpg",Coca-Cola,Flavoured Soft Drinks
7Up Lemonade Soda,$2.00,https://www.igashop.com.au/product/428622,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/428622.jpg",7Up,Flavoured Soft Drinks
Black & Gold Cola,$1.19,https://www.igashop.com.au/product/26585,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/26585.jpg",Black & Gold,Flavoured Soft Drinks
Black & Gold Cola Zero Sugar,$1.19,https://www.igashop.com.au/product/398746,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/398746.jpg",Black & Gold,Flavoured Soft Drinks
Black & Gold Diet Lemonade,$1.19,https://www.igashop.com.au/product/441272,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/441272.jpg",Black & Gold,Flavoured Soft Drinks
Black & Gold Lemon,$1.19,https://www.igashop.com.au/product/374263,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/374263.jpg",Black & Gold,Flavoured Soft Drinks
Black & Gold Lemonade,$1.19,https://www.igashop.com.au/product/26593,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/26593.jpg",Black & Gold,Flavoured Soft Drinks
Black & Gold Orange,$1.19,https://www.igashop.com.au/product/26828,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/26828.jpg",Black & Gold,Flavoured Soft Drinks
Black & Gold Soda Water,$1.19,https://www.igashop.com.au/product/367363,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/367363.jpg",Black & Gold,Flavoured Soft Drinks
Bubly Schweppes Mineral Water Watermelon,$17.00,https://www.igashop.com.au/product/180000002845,,Bubly,Flavoured Soft Drinks
Bundaberg Brewed Apple & Lychee,$7.10,https://www.igashop.com.au/product/1800000068497,,Bundaberg,Flavoured Soft Drinks
Bundaberg Brewed Diet Ginger Beer,$3.95,https://www.igashop.com.au/product/323474,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/323474.jpg",Bundaberg,Non-Alcoholic
Bundaberg Brewed Ginger Beer,$3.95,https://www.igashop.com.au/product/428583,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/428583.jpg",Bundaberg,Non-Alcoholic
Bundaberg Brewed Lemon & Watermelon,$7.10,https://www.igashop.com.au/product/1800000068498,,Bundaberg,Flavoured Soft Drinks
Bundaberg Brewed Raspberry & Pomegranate,$7.10,https://www.igashop.com.au/product/1800000068499,,Bundaberg,Flavoured Soft Drinks
Bundaberg Burgundee Creaming Soda,$7.85,https://www.igashop.com.au/product/389056,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/389056.jpg",Bundaberg,Non-Alcoholic
Bundaberg Diet Ginger Beer,$7.85,https://www.igashop.com.au/product/388084,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/388084.jpg",Bundaberg,Non-Alcoholic
Bundaberg Diet Ginger Beer,$17.90,https://www.igashop.com.au/product/458787,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/458787.jpg",Bundaberg,Non-Alcoholic
Bundaberg Ginger Beer,$17.90,https://www.igashop.com.au/product/401159,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/401159.jpg",Bundaberg,Non-Alcoholic
Bundaberg Ginger Beer Mini Can,$7.70,https://www.igashop.com.au/product/831757,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/831757.jpg",Bundaberg,Flavoured Soft Drinks
Bundaberg Guava Sparkling Drink,$1.50,https://www.igashop.com.au/product/20000003490,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003490.jpg",Bundaberg,Flavoured Soft Drinks
Bundaberg Lemon Lime & Bitters Mini Cans,$7.70,https://www.igashop.com.au/product/284015,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/284015.jpg",Bundaberg,Flavoured Soft Drinks
"Bundaberg Lemon, Lime & Bitters",$7.85,https://www.igashop.com.au/product/390447,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/390447.jpg",Bundaberg,Non-Alcoholic
"Bundaberg Lemon,lime & Bitters",$17.90,https://www.igashop.com.au/product/392546,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/392546.jpg",Bundaberg,Non-Alcoholic
Bundaberg Passionfruit Sparkling Drink Mini Cans,$7.70,https://www.igashop.com.au/product/284023,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/284023.jpg",Bundaberg,Flavoured Soft Drinks
Bundaberg Pineapple & Coconut Sparkling Drink,$7.85,https://www.igashop.com.au/product/388165,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/388165.jpg",Bundaberg,Non-Alcoholic
Bundaberg Pink Grapefruit,$7.70,https://www.igashop.com.au/product/476688,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/476688.jpg",Bundaberg,Flavoured Soft Drinks
Bundaberg Sarsaparilla,$7.85,https://www.igashop.com.au/product/56302,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/56302.jpg",Bundaberg,Non-Alcoholic
Bundaberg Sparkling Blood Orange Sparkling Drink,$7.85,https://www.igashop.com.au/product/388039,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/388039.jpg",Bundaberg,Non-Alcoholic
Bundaberg Sparkling Guava Sparkling Drink,$7.85,https://www.igashop.com.au/product/388042,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/388042.jpg",Bundaberg,Non-Alcoholic
Bundaberg Sparkling Passionfruit Sparkling Drink,$7.85,https://www.igashop.com.au/product/388149,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/388149.jpg",Bundaberg,Non-Alcoholic
Bundaberg Spiced Ginger Beer,$7.85,https://www.igashop.com.au/product/20000006353,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006353.jpg",Bundaberg,Flavoured Soft Drinks
Bundaberg Traditional Lemonade,$7.85,https://www.igashop.com.au/product/219120,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/219120.jpg",Bundaberg,Non-Alcoholic
Bundaberg Tropical Mango,$7.85,https://www.igashop.com.au/product/885191,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/885191.jpg",Bundaberg,Flavoured Soft Drinks
