title,price,brand,category,producturl,imageurl
Pepsi Max No Sugar Cola Soft Drink Cans Multipack 375mL x 30 pack,$28.00,Pepsi Max,Drinks,https://www.woolworths.com.au/shop/productdetails/773129/pepsi-max-no-sugar-cola-soft-drink-cans-multipack,https://cdn1.woolworths.media/content/wowproductimages/large/773129.jpg
Lipton Peach Iced Tea Bottle Peach 1.5L,$3.60,Lipton,Drinks,https://www.woolworths.com.au/shop/productdetails/305224/lipton-peach-iced-tea-bottle-peach,https://cdn1.woolworths.media/content/wowproductimages/large/305224.jpg
Kirks Pasito Soft Drink Multipack Cans 375mL x 10 pack,$15.00,Kirks,Drinks,https://www.woolworths.com.au/shop/productdetails/159798/kirks-pasito-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/159798.jpg
Solo Energy Drink Lemon 500mL,$3.00,Solo,Drinks,https://www.woolworths.com.au/shop/productdetails/6026193/solo-energy-drink-lemon,https://cdn1.woolworths.media/content/wowproductimages/large/6026193.jpg
Woolworths Full Cream Long Life Milk UHT 1L,$1.65,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/748595/woolworths-full-cream-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/748595.jpg
Woolworths Spring Water Bottles 600mL x 24 pack,$8.00,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/116784/woolworths-spring-water-bottles,https://cdn1.woolworths.media/content/wowproductimages/large/116784.jpg
Woolworths Skim Long Life Milk UHT 1L,$1.65,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/748597/woolworths-skim-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/748597.jpg
Woolworths Lite Long Life Milk UHT 1L,$1.65,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/748596/woolworths-lite-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/748596.jpg
Pepsi Max No Sugar Cola Soft Drink Bottle 1.25L,$3.50,Pepsi Max,Drinks,https://www.woolworths.com.au/shop/productdetails/7985/pepsi-max-no-sugar-cola-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/007985.jpg
Woolworths Free From Lactose Lite Long Life Milk UHT 1L,$2.00,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/799813/woolworths-free-from-lactose-lite-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/799813.jpg
Sunkist Orange Soft Drink Bottle 2L,$3.00,Sunkist,Drinks,https://www.woolworths.com.au/shop/productdetails/7373/sunkist-orange-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/007373.jpg
Coca-Cola Zero Sugar Soft Drink Mini Cans 250mL x 6 pack,$10.00,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/243760/coca-cola-zero-sugar-soft-drink-mini-cans,https://cdn1.woolworths.media/content/wowproductimages/large/243760.jpg
Sprite Lemonade 300mL x 12 pack,$20.00,Sprite,Drinks,https://www.woolworths.com.au/shop/productdetails/399589/sprite-lemonade,https://cdn1.woolworths.media/content/wowproductimages/large/399589.jpg
Gatorade Sports Drinks Blue Bolt Electrolyte Hydration Bottle 600mL,$2.10,Gatorade,Drinks,https://www.woolworths.com.au/shop/productdetails/30486/gatorade-sports-drinks-blue-bolt-electrolyte-hydration-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/030486.jpg
Woolworths Sparkling Mineral Water 1.25L,$1.10,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/799638/woolworths-sparkling-mineral-water,https://cdn1.woolworths.media/content/wowproductimages/large/799638.jpg
Devondale 100% Pure Full Cream Long Life Milk UHT 1L,$2.00,Devondale,Drinks,https://www.woolworths.com.au/shop/productdetails/33557/devondale-100-pure-full-cream-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/033557.jpg
Coca-Cola Zero Sugar Soft Drink Multipack Cans 375mL x 24 pack,$41.25,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/669683/coca-cola-zero-sugar-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/669683.jpg
Sanitarium So Good Unsweetened Almond Long Life Milk UHT 1L,$2.90,Sanitarium,Drinks,https://www.woolworths.com.au/shop/productdetails/744490/sanitarium-so-good-unsweetened-almond-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/744490.jpg
Coca-Cola Classic  Soft Drink Bottle 1.25L,$2.40,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/32731/coca-cola-classic-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/032731.jpg
Coca-Cola Classic  Soft Drink Multipack Cans 375mL X 24 pack,$41.25,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/42605/coca-cola-classic-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/042605.jpg
Woolworths Free From Lactose Full Cream Long Life Milk UHT 1L,$2.00,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/799811/woolworths-free-from-lactose-full-cream-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/799811.jpg
Woolworths Soda Water 1.25L,$1.20,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/799637/woolworths-soda-water,https://cdn1.woolworths.media/content/wowproductimages/large/799637.jpg
Coca-Cola Classic  Soft Drink Bottle 2L,$3.50,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/38121/coca-cola-classic-soft-drink-bottle-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/038121.jpg
Coca-Cola Zero Sugar Soft Drink Bottle 1.25L,$2.40,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/623034/coca-cola-zero-sugar-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/623034.jpg
Bonsoy Soy Long Life Milk UHT 1L,$4.50,Bonsoy,Drinks,https://www.woolworths.com.au/shop/productdetails/56731/bonsoy-soy-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/056731.jpg
Woolworths Apple Juice 2L,$2.70,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/825527/woolworths-apple-juice,https://cdn1.woolworths.media/content/wowproductimages/large/825527.jpg
Woolworths Spring Water Bottles 1.5L x 6 pack,$4.90,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/749792/woolworths-spring-water-bottles,https://cdn1.woolworths.media/content/wowproductimages/large/749792.jpg
Coca-Cola Zero Sugar Soft Drink Bottle 2L,$3.50,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/672966/coca-cola-zero-sugar-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/672966.jpg
Powerade ION4 Mountain Blast Sports Drink Sipper Cap 600mL,$4.40,Powerade,Drinks,https://www.woolworths.com.au/shop/productdetails/365190/powerade-ion4-mountain-blast-sports-drink-sipper-cap,https://cdn1.woolworths.media/content/wowproductimages/large/365190.jpg
Coca-Cola Zero Sugar Soft Drink Multipack Cans 375mL x 30 pack,$30.00,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/679121/coca-cola-zero-sugar-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/679121.jpg
Sanitarium So Good Soy Regular Long Life Milk UHT 1L,$2.20,Sanitarium,Drinks,https://www.woolworths.com.au/shop/productdetails/24318/sanitarium-so-good-soy-regular-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/024318.jpg
Woolworths Soy Long Life Milk UHT 1L,$1.90,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/779130/woolworths-soy-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/779130.jpg
Woolworths Lemonade Bottle 1.25L,$1.20,Woolworths,Drinks,https://www.woolworths.com.au/shop/productdetails/333339/woolworths-lemonade-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/333339.jpg
Raw C Coconut Water Pure Natural 1L,$5.50,Raw C,Drinks,https://www.woolworths.com.au/shop/productdetails/785627/raw-c-coconut-water-pure-natural,https://cdn1.woolworths.media/content/wowproductimages/large/785627.jpg
Vitasoy Oat Milky Long Life Milk UHT 1L,$2.00,Vitasoy,Drinks,https://www.woolworths.com.au/shop/productdetails/148781/vitasoy-oat-milky-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/148781.jpg
Pauls Zymil Lactose Free Full Cream Long Life Milk UHT 1L,$3.00,Pauls,Drinks,https://www.woolworths.com.au/shop/productdetails/730998/pauls-zymil-lactose-free-full-cream-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/730998.jpg
Sanitarium So Good Oat No Added Sugar Long Life Milk UHT 1L,$1.95,Sanitarium,Drinks,https://www.woolworths.com.au/shop/productdetails/120207/sanitarium-so-good-oat-no-added-sugar-long-life-milk-uht,https://cdn1.woolworths.media/content/wowproductimages/large/120207.jpg
Coca-Cola Classic  Soft Drink Multipack Cans 375mL x 30 pack,$30.00,Coca-Cola,Drinks,https://www.woolworths.com.au/shop/productdetails/84552/coca-cola-classic-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/084552.jpg
